id,cod_dep,departamento,cod_mun,municipio,nacidos_vivos,nacidos_vivos_atendidos_por_personal_de_salud,nacidos_muertos,nacidos_muertos_atendidos_por_personal_de_salud,total_general
1,1,CHUQUISACA,10101,SUCRE,6569,115,80,,6764
2,1,CHUQUISACA,10102,YOTALA,112,1,5,,118
3,1,CHUQUISACA,10103,POROMA,180,5,104,3,292
4,1,CHUQUISACA,10201,AZURDUY,115,3,127,3,248
5,1,CHUQUISACA,10202,TARVITA,242,5,53,1,301
6,1,CHUQUISACA,10301,ZUDAÑEZ,80,,32,1,113
7,1,CHUQUISACA,10302,PRESTO,33,2,124,2,161
8,1,CHUQUISACA,10303,MOJOCOYA,75,3,64,2,144
9,1,CHUQUISACA,10304,ICLA,74,,68,4,146
10,1,CHUQUISACA,10401,PADILLA,238,12,28,,278
11,1,CHUQUISACA,10402,TOMINA,115,,28,2,145
12,1,CHUQUISACA,10403,SOPACHUY,120,3,29,,152
13,1,CHUQUISACA,10404,ALCALA,30,,9,,39
14,1,CHUQUISACA,10405,EL VILLAR,45,3,4,,52
15,1,CHUQUISACA,10501,MONTEAGUDO,581,10,21,,612
16,1,CHUQUISACA,10502,HUACARETA,142,1,34,,177
17,1,CHUQUISACA,10601,TARABUCO,275,5,84,,364
18,1,CHUQUISACA,10602,YAMPARAEZ,105,1,8,,114
19,1,CHUQUISACA,10701,CAMARGO,323,8,35,,366
20,1,CHUQUISACA,10702,SAN LUCAS,418,10,349,20,797
21,1,CHUQUISACA,10703,INCAHUASI,145,1,127,2,275
22,1,CHUQUISACA,10704,VILLA CHARCAS,127,1,115,1,244
23,1,CHUQUISACA,10801,VILLA SERRANO,154,2,44,,200
24,1,CHUQUISACA,10901,CAMATAQUI (C. VILLA ABECIA),30,1,15,,46
25,1,CHUQUISACA,10902,CULPINA,255,2,99,5,361
26,1,CHUQUISACA,10903,LAS CARRERAS,38,,14,,52
27,1,CHUQUISACA,11001,VILLA VACA GUZMAN (MUYUPAMPA),118,2,48,,168
28,1,CHUQUISACA,11002,HUACAYA (VILLA DE HUACAYA),10,,23,,33
29,1,CHUQUISACA,11003,MACHARETI,60,1,22,,83
30,2,LA PAZ,20101,LA PAZ,19345,360,52,33,19790
31,2,LA PAZ,20102,PALCA,23,,43,,66
32,2,LA PAZ,20103,MECAPACA,49,1,21,,71
33,2,LA PAZ,20104,ACHOCALLA,70,1,47,,118
34,2,LA PAZ,20105,EL ALTO,14449,254,94,,14797
35,2,LA PAZ,20201,ACHACACHI,362,7,228,2,599
36,2,LA PAZ,20202,ANCORAIMES,74,,98,12,184
37,2,LA PAZ,20203,HUARINA,23,,43,,66
38,2,LA PAZ,20204,SANTIAGO DE HUATA,25,,47,,72
39,2,LA PAZ,20301,CORO CORO,37,,70,,107
40,2,LA PAZ,20302,CAQUIAVIRI,7,1,81,1,90
41,2,LA PAZ,20303,CALACOTO,3,1,47,2,53
42,2,LA PAZ,20304,COMANCHE,1,,30,,31
43,2,LA PAZ,20305,CHARAÑA,8,,19,,27
44,2,LA PAZ,20306,WALDO BALLIVIAN,1,,27,,28
45,2,LA PAZ,20307,NAZACARA DE PACAJES,5,,4,,9
46,2,LA PAZ,20308,SANTIAGO DE CALLAPA,20,,38,,58
