id,cod_dep,departamento,cod_mun,municipio,nacidos_vivos,nacidos_vivos_atendidos_por_personal_de_salud,nacidos_muertos,nacidos_muertos_atendidos_por_personal_de_salud,total_general
97,2,LA PAZ,21306,COLQUENCHA,83,,67,,150
98,2,LA PAZ,21307,COLLANA,17,,8,,25
99,2,LA PAZ,21401,COROICO,284,4,16,,304
100,2,LA PAZ,21402,CORIPATA,148,,64,2,214
101,2,LA PAZ,21501,IXIAMAS,114,,30,,144
102,2,LA PAZ,21502,SAN BUENA VENTURA,234,7,32,,273
103,2,LA PAZ,21601,GRAL. J.J. PEREZ  (CHARAZANI),25,1,84,,110
104,2,LA PAZ,21602,CURVA,4,,39,1,44
105,2,LA PAZ,21701,COPACABANA,105,1,36,,142
106,2,LA PAZ,21702,SAN PEDRO DE TIQUINA,25,,26,,51
107,2,LA PAZ,21703,TITO YUPANQUI (PARQUIPUJIO),,,13,,13
108,2,LA PAZ,21801,SAN PEDRO DE CURAHUARA,12,,75,,87
109,2,LA PAZ,21802,PAPEL PAMPA,8,,68,,76
110,2,LA PAZ,21803,CHACARILLA,,,13,,13
111,2,LA PAZ,21901,SANTIAGO DE MACHACA,22,,15,,37
112,2,LA PAZ,21902,CATACORA,1,,9,,10
113,2,LA PAZ,22001,CARANAVI,1018,25,139,,1182
114,2,LA PAZ,22002,ALTO BENI,118,,34,,152
115,3,COCHABAMBA,30101,COCHABAMBA,19565,239,26,2,19832
116,3,COCHABAMBA,30201,AIQUILE,462,5,48,1,516
117,3,COCHABAMBA,30202,PASORAPA,22,1,19,,42
118,3,COCHABAMBA,30203,OMEREQUE,67,,22,,89
119,3,COCHABAMBA,30301,AYOPAYA (V. DE INDEPENDENCIA),220,1,146,,367
120,3,COCHABAMBA,30302,MOROCHATA,129,,122,2,253
121,3,COCHABAMBA,30303,COCAPATA,73,,246,,319
122,3,COCHABAMBA,30401,TARATA,75,,6,,81
123,3,COCHABAMBA,30402,ANZALDO,42,,65,,107
124,3,COCHABAMBA,30403,ARBIETO,111,,32,,143
125,3,COCHABAMBA,30404,SACABAMBA,48,1,24,,73
126,3,COCHABAMBA,30501,ARANI,138,,17,,155
127,3,COCHABAMBA,30502,VACAS,100,,44,,144
128,3,COCHABAMBA,30601,ARQUE,56,,248,3,307
129,3,COCHABAMBA,30602,TACOPAYA,41,,105,1,147
130,3,COCHABAMBA,30701,CAPINOTA,267,,53,1,321
131,3,COCHABAMBA,30702,SANTIVAÑES,37,,7,,44
132,3,COCHABAMBA,30703,SICAYA,16,,26,1,43
133,3,COCHABAMBA,30801,CLIZA,264,,13,,277
134,3,COCHABAMBA,30802,TOCO,45,,30,,75
135,3,COCHABAMBA,30803,TOLATA,44,,3,,47
136,3,COCHABAMBA,30901,QUILLACOLLO,1788,16,33,,1837
137,3,COCHABAMBA,30902,SIPE SIPE,432,1,41,1,475
138,3,COCHABAMBA,30903,TIQUIPAYA,993,8,55,,1056
139,3,COCHABAMBA,30904,VINTO,861,3,43,,907
140,3,COCHABAMBA,30905,COLCAPIRHUA,686,2,,,688
141,3,COCHABAMBA,31001,SACABA,2331,28,67,,2426
142,3,COCHABAMBA,31002,COLOMI,296,17,15,,328
143,3,COCHABAMBA,31003,VILLA TUNARI,1831,34,76,,1941
144,3,COCHABAMBA,31101,TAPACARI,82,,328,1,411
145,3,COCHABAMBA,31201,TOTORA(CBBA),250,2,13,,265
146,3,COCHABAMBA,31202,POJO (CBBA),223,1,12,1,237
147,3,COCHABAMBA,31203,POCONA,179,,17,,196
148,3,COCHABAMBA,31204,CHIMORE,190,,24,,214
149,3,COCHABAMBA,31205,PUERTO VILLARROEL,1328,22,36,,1386
150,3,COCHABAMBA,31206,ENTRE RIOS CBBA,328,1,26,,355
151,3,COCHABAMBA,31301,MIZQUE,348,5,119,,472
152,3,COCHABAMBA,31302,VILA VILA,30,,50,1,81
153,3,COCHABAMBA,31303,ALALAY,12,,50,,62
154,3,COCHABAMBA,31401,PUNATA,1013,24,4,,1041
155,3,COCHABAMBA,31402,VILLA RIVERO,49,,9,,58
156,3,COCHABAMBA,31403,SAN BENITO,85,1,9,,95
157,3,COCHABAMBA,31404,TACACHI,9,,5,,14
158,3,COCHABAMBA,31405,CUCHUMUELA (V. G. VILLARROEL),13,,3,,16
159,3,COCHABAMBA,31501,BOLIVAR,16,,103,2,121
160,3,COCHABAMBA,31601,TIRAQUE (CBBA),287,,42,,329
161,3,COCHABAMBA,31602,SHINAOTA,692,4,6,,702
162,4,ORURO,40101,ORURO,7240,132,37,,7409
163,4,ORURO,40102,CARACOLLO,172,1,94,1,268
164,4,ORURO,40103,EL CHORO,47,,18,,65
165,4,ORURO,40104,SORACACHI,41,1,85,1,128
166,4,ORURO,40201,CHALLAPATA,473,3,142,2,620
