id,cod_dep,departamento,cod_mun,municipio,nacidos_vivos,nacidos_vivos_atendidos_por_personal_de_salud,nacidos_muertos,nacidos_muertos_atendidos_por_personal_de_salud,total_general
1,1,CHUQUISACA,10101,SUCRE,6616,58,102,,6776
2,1,CHUQUISACA,10102,YOTALA,109,8,,,117
3,1,CHUQUISACA,10103,POROMA,108,136,1,3,248
4,1,CHUQUISACA,10201,AZURDUY,74,104,,2,180
5,1,CHUQUISACA,10202,TARVITA,179,67,3,2,251
6,1,CHUQUISACA,10301,ZUDAÑEZ,96,25,,1,122
7,1,CHUQUISACA,10302,PRESTO,37,117,,4,158
8,1,CHUQUISACA,10303,MOJOCOYA,73,35,,1,109
9,1,CHUQUISACA,10304,ICLA,76,67,4,2,149
10,1,CHUQUISACA,10401,PADILLA,232,10,11,,253
11,1,CHUQUISACA,10402,TOMINA,124,24,,1,149
12,1,CHUQUISACA,10403,SOPACHUY,100,32,1,,133
13,1,CHUQUISACA,10404,ALCALA,42,3,,,45
14,1,CHUQUISACA,10405,EL VILLAR,38,,,,38
15,1,CHUQUISACA,10501,MONTEAGUDO,586,22,9,,617
16,1,CHUQUISACA,10502,HUACARETA,101,14,3,,118
17,1,CHUQUISACA,10601,TARABUCO,219,113,3,2,337
18,1,CHUQUISACA,10602,YAMPARAEZ,72,23,,,95
19,1,CHUQUISACA,10701,CAMARGO,327,22,8,,357
20,1,CHUQUISACA,10702,SAN LUCAS,338,336,8,3,685
21,1,CHUQUISACA,10703,INCAHUASI,102,111,2,3,218
22,1,CHUQUISACA,10704,VILLA CHARCAS,156,122,3,,281
23,1,CHUQUISACA,10801,VILLA SERRANO,108,33,2,,143
24,1,CHUQUISACA,10901,CAMATAQUI (C. VILLA ABECIA),32,6,,,38
25,1,CHUQUISACA,10902,CULPINA,215,108,5,5,333
26,1,CHUQUISACA,10903,LAS CARRERAS,49,10,,,59
27,1,CHUQUISACA,11001,VILLA VACA GUZMAN (MUYUPAMPA),122,42,1,,165
28,1,CHUQUISACA,11002,HUACAYA (VILLA DE HUACAYA),31,18,,,49
29,1,CHUQUISACA,11003,MACHARETI,54,13,,,67
30,2,LA PAZ,20101,LA PAZ,19384,9,285,1,19679
31,2,LA PAZ,20102,PALCA,42,63,,,105
32,2,LA PAZ,20103,MECAPACA,56,34,,,90
33,2,LA PAZ,20104,ACHOCALLA,68,21,,1,90
34,2,LA PAZ,20105,EL ALTO,14856,63,232,,15151
35,2,LA PAZ,20201,ACHACACHI,321,190,15,,526
36,2,LA PAZ,20202,ANCORAIMES,49,104,,,153
37,2,LA PAZ,20203,HUARINA,28,35,,,63
38,2,LA PAZ,20204,SANTIAGO DE HUATA,5,92,,,97
39,2,LA PAZ,20301,CORO CORO,24,60,,1,85
40,2,LA PAZ,20302,CAQUIAVIRI,10,81,,1,92
41,2,LA PAZ,20303,CALACOTO,7,50,,,57
42,2,LA PAZ,20304,COMANCHE,1,26,,,27
43,2,LA PAZ,20305,CHARAÑA,5,15,,,20
44,2,LA PAZ,20306,WALDO BALLIVIAN,,26,,,26
45,2,LA PAZ,20307,NAZACARA DE PACAJES,1,4,,,5
46,2,LA PAZ,20308,SANTIAGO DE CALLAPA,20,32,,1,53
47,2,LA PAZ,20401,PUERTO ACOSTA,44,162,,,206
48,2,LA PAZ,20402,MOCOMOCO,27,126,,,153
49,2,LA PAZ,20403,PUERTO CARABUCO,30,117,,1,148
50,2,LA PAZ,20404,HUMANATA,11,50,,1,62
51,2,LA PAZ,20405,ESCOMA,59,8,4,,71
52,2,LA PAZ,20501,CHUMA,13,91,,,104
53,2,LA PAZ,20502,AYATA,13,102,,,115
54,2,LA PAZ,20503,AUCAPATA,2,42,,1,45
55,2,LA PAZ,20601,SORATA,125,56,3,1,185
56,2,LA PAZ,20602,GUANAY,187,39,1,,227
57,2,LA PAZ,20603,TACACOMA,75,5,,,80
58,2,LA PAZ,20604,QUIABAYA,8,24,1,,33
59,2,LA PAZ,20605,COMBAYA,5,31,,,36
60,2,LA PAZ,20606,TIPUANI,187,8,4,,199
61,2,LA PAZ,20607,MAPIRI,264,22,4,,290
62,2,LA PAZ,20608,TEOPONTE,129,38,1,1,169
63,2,LA PAZ,20701,APOLO,158,110,,,268
64,2,LA PAZ,20702,PELECHUCO,15,73,,1,89
65,2,LA PAZ,20801,VIACHA,486,92,2,,580
66,2,LA PAZ,20802,GUAQUI,29,43,,,72
67,2,LA PAZ,20803,TIAWANACU,101,79,2,,182
68,2,LA PAZ,20804,DESAGUADERO,45,33,,,78
69,2,LA PAZ,20805,SAN ANDRES DE MACHACA,24,17,,1,42
70,2,LA PAZ,20806,JESUS DE MACHACA,102,90,3,1,196
71,2,LA PAZ,20807,TARACO,42,26,,,68
72,2,LA PAZ,20901,LURIBAY,29,63,,,92
73,2,LA PAZ,20902,SAPAHAQUI,25,54,,,79
74,2,LA PAZ,20903,YACO,26,92,,,118
75,2,LA PAZ,20904,MALLA,1,32,,,33
76,2,LA PAZ,20905,CAIROMA,51,76,1,,128
77,2,LA PAZ,21001,INQUISIVI,28,84,1,,113
78,2,LA PAZ,21002,QUIME,51,34,2,,87
79,2,LA PAZ,21003,CAJUATA,99,19,,,118
80,2,LA PAZ,21004,COLQUIRI,99,197,,,296
81,2,LA PAZ,21005,ICHOCA,18,25,,,43
82,2,LA PAZ,21006,LICOMA PAMPA,19,3,,,22
83,2,LA PAZ,21101,CHULUMANI (V. DE LA LIBERTAD),347,11,3,,361
84,2,LA PAZ,21102,IRUPANA (VILLA DE LANZA),87,51,,1,139
85,2,LA PAZ,21103,YANACACHI,26,11,1,1,39
86,2,LA PAZ,21104,PALOS BLANCOS,383,79,3,1,466
87,2,LA PAZ,21105,LA ASUNTA,435,147,4,,586
88,2,LA PAZ,21201,PUCARANI,83,256,,,339
89,2,LA PAZ,21202,LAJA,64,100,1,,165
90,2,LA PAZ,21203,BATALLAS,83,109,,,192
91,2,LA PAZ,21204,PUERTO PEREZ,4,66,,,70
92,2,LA PAZ,21301,SICA SICA (VILLA AROMA),163,118,,,281
93,2,LA PAZ,21302,UMALA,54,83,,,137
94,2,LA PAZ,21303,AYO AYO,63,53,1,2,119
95,2,LA PAZ,21304,CALAMARCA,84,99,1,1,185
96,2,LA PAZ,21305,PATACAMAYA,314,37,4,,355
97,2,LA PAZ,21306,COLQUENCHA,100,23,,1,124
98,2,LA PAZ,21307,COLLANA,12,20,,1,33
99,2,LA PAZ,21401,COROICO,293,16,4,,313
100,2,LA PAZ,21402,CORIPATA,119,40,1,,160
101,2,LA PAZ,21501,IXIAMAS,78,39,,1,118
102,2,LA PAZ,21502,SAN BUENA VENTURA,190,41,3,1,235
103,2,LA PAZ,21601,GRAL. J.J. PEREZ  (CHARAZANI),42,83,,,125
104,2,LA PAZ,21602,CURVA,,40,,,40
105,2,LA PAZ,21701,COPACABANA,109,28,,,137
106,2,LA PAZ,21702,SAN PEDRO DE TIQUINA,18,19,,,37
107,2,LA PAZ,21703,TITO YUPANQUI (PARQUIPUJIO),3,13,,,16
108,2,LA PAZ,21801,SAN PEDRO DE CURAHUARA,20,47,,,67
109,2,LA PAZ,21802,PAPEL PAMPA,21,53,,,74
110,2,LA PAZ,21803,CHACARILLA,,10,,,10
111,2,LA PAZ,21901,SANTIAGO DE MACHACA,24,10,,,34
112,2,LA PAZ,21902,CATACORA,,7,,,7
113,2,LA PAZ,22001,CARANAVI,941,120,22,1,1084
114,2,LA PAZ,22002,ALTO BENI,100,30,,,130
115,3,COCHABAMBA,30101,COCHABAMBA,19699,23,220,,19942
116,3,COCHABAMBA,30201,AIQUILE,400,42,5,,447
117,3,COCHABAMBA,30202,PASORAPA,13,13,,,26
118,3,COCHABAMBA,30203,OMEREQUE,58,26,,,84
119,3,COCHABAMBA,30301,AYOPAYA (V. DE INDEPENDENCIA),231,146,7,3,387
120,3,COCHABAMBA,30302,MOROCHATA,77,102,1,2,182
121,3,COCHABAMBA,30303,COCAPATA,86,212,1,,299
122,3,COCHABAMBA,30401,TARATA,88,5,,,93
123,3,COCHABAMBA,30402,ANZALDO,44,49,,,93
124,3,COCHABAMBA,30403,ARBIETO,108,45,,,153
125,3,COCHABAMBA,30404,SACABAMBA,53,15,2,,70
126,3,COCHABAMBA,30501,ARANI,100,21,1,,122
127,3,COCHABAMBA,30502,VACAS,89,46,,,135
128,3,COCHABAMBA,30601,ARQUE,28,184,,1,213
129,3,COCHABAMBA,30602,TACOPAYA,44,84,,,128
130,3,COCHABAMBA,30701,CAPINOTA,166,29,,,195
131,3,COCHABAMBA,30702,SANTIVAÑES,48,12,,,60
132,3,COCHABAMBA,30703,SICAYA,9,24,,1,34
133,3,COCHABAMBA,30801,CLIZA,247,6,2,,255
134,3,COCHABAMBA,30802,TOCO,34,12,,,46
135,3,COCHABAMBA,30803,TOLATA,65,2,,,67
136,3,COCHABAMBA,30901,QUILLACOLLO,1659,80,12,3,1754
137,3,COCHABAMBA,30902,SIPE SIPE,428,25,,,453
138,3,COCHABAMBA,30903,TIQUIPAYA,982,53,7,,1042
139,3,COCHABAMBA,30904,VINTO,963,28,1,,992
140,3,COCHABAMBA,30905,COLCAPIRHUA,635,,2,,637
141,3,COCHABAMBA,31001,SACABA,2233,81,15,,2329
142,3,COCHABAMBA,31002,COLOMI,241,19,,,260
143,3,COCHABAMBA,31003,VILLA TUNARI,1677,85,31,1,1794
144,3,COCHABAMBA,31101,TAPACARI,66,300,1,1,368
145,3,COCHABAMBA,31201,TOTORA(CBBA),267,6,1,,274
146,3,COCHABAMBA,31202,POJO (CBBA),186,12,1,,199
147,3,COCHABAMBA,31203,POCONA,144,23,,1,168
148,3,COCHABAMBA,31204,CHIMORE,145,21,,1,167
149,3,COCHABAMBA,31205,PUERTO VILLARROEL,1114,40,12,1,1167
150,3,COCHABAMBA,31206,ENTRE RIOS CBBA,331,14,1,,346
151,3,COCHABAMBA,31301,MIZQUE,347,116,5,1,469
152,3,COCHABAMBA,31302,VILA VILA,30,47,3,,80
153,3,COCHABAMBA,31303,ALALAY,19,41,,,60
154,3,COCHABAMBA,31401,PUNATA,871,4,15,,890
155,3,COCHABAMBA,31402,VILLA RIVERO,61,20,,,81
156,3,COCHABAMBA,31403,SAN BENITO,55,3,,,58
157,3,COCHABAMBA,31404,TACACHI,2,2,,,4
158,3,COCHABAMBA,31405,CUCHUMUELA (V. G. VILLARROEL),5,5,,,10
159,3,COCHABAMBA,31501,BOLIVAR,16,120,2,,138
160,3,COCHABAMBA,31601,TIRAQUE (CBBA),240,46,,,286
