id,cod_dep,departamento,cod_mun,municipio,nacidos_vivos,nacidos_vivos_atendidos_por_personal_de_salud,nacidos_muertos,nacidos_muertos_atendidos_por_personal_de_salud,total_general
1,1,CHUQUISACA,10101,SUCRE,6800,39,82,,6921
2,1,CHUQUISACA,10102,YOTALA,101,8,,,109
3,1,CHUQUISACA,10103,POROMA,84,145,3,4,236
4,1,CHUQUISACA,10201,AZURDUY,72,83,,,155
5,1,CHUQUISACA,10202,TARVITA,181,52,3,1,237
6,1,CHUQUISACA,10301,ZUDAÑEZ,84,21,1,3,109
7,1,CHUQUISACA,10302,PRESTO,48,102,,,150
8,1,CHUQUISACA,10303,MOJOCOYA,75,25,,,100
9,1,CHUQUISACA,10304,ICLA,66,54,,3,123
10,1,CHUQUISACA,10401,PADILLA,261,9,8,1,279
11,1,CHUQUISACA,10402,TOMINA,105,14,1,,120
12,1,CHUQUISACA,10403,SOPACHUY,70,23,,,93
13,1,CHUQUISACA,10404,ALCALA,41,2,1,,44
14,1,CHUQUISACA,10405,EL VILLAR,46,7,,,53
15,1,CHUQUISACA,10501,MONTEAGUDO,581,7,5,,593
16,1,CHUQUISACA,10502,HUACARETA,107,15,,,122
17,1,CHUQUISACA,10601,TARABUCO,180,75,9,,264
18,1,CHUQUISACA,10602,YAMPARAEZ,68,15,,,83
19,1,CHUQUISACA,10701,CAMARGO,325,29,12,,366
20,1,CHUQUISACA,10702,SAN LUCAS,332,208,3,2,545
21,1,CHUQUISACA,10703,INCAHUASI,72,103,,1,176
22,1,CHUQUISACA,10704,VILLA CHARCAS,164,111,2,,277
23,1,CHUQUISACA,10801,VILLA SERRANO,93,28,,1,122
24,1,CHUQUISACA,10901,CAMATAQUI (C. VILLA ABECIA),33,4,,,37
25,1,CHUQUISACA,10902,CULPINA,169,85,,2,256
26,1,CHUQUISACA,10903,LAS CARRERAS,41,5,1,,47
27,1,CHUQUISACA,11001,VILLA VACA GUZMAN (MUYUPAMPA),72,30,1,,103
28,1,CHUQUISACA,11002,HUACAYA (VILLA DE HUACAYA),38,19,,1,58
29,1,CHUQUISACA,11003,MACHARETI,60,6,,1,67
30,2,LA PAZ,20101,LA PAZ,20104,9,255,,20368
31,2,LA PAZ,20102,PALCA,65,67,1,1,134
32,2,LA PAZ,20103,MECAPACA,31,42,,,73
