id;cod_dep;departamento;cod_mun;municipio;mujeres_con_4ta_consulta_ prenatal;cobertura
1;1;CHUQUISACA;10101;SUCRE;9386;0,933584252
2;1;CHUQUISACA;10102;YOTALA;130;0,397309792
3;1;CHUQUISACA;10103;POROMA;287;0,46785116
4;1;CHUQUISACA;10201;AZURDUY;202;0,699169432
5;1;CHUQUISACA;10202;TARVITA;301;0,703774996
6;1;CHUQUISACA;10301;ZUDAÑEZ;100;0,530069882
7;1;CHUQUISACA;10302;PRESTO;132;0,516185251
8;1;CHUQUISACA;10303;MOJOCOYA;119;0,618602067
9;1;CHUQUISACA;10304;ICLA;150;0,56819906
10;1;CHUQUISACA;10401;PADILLA;268;0,891782132
11;1;CHUQUISACA;10402;TOMINA;178;0,667032539
12;1;CHUQUISACA;10403;SOPACHUY;160;0,74597523
13;1;CHUQUISACA;10404;ALCALA;54;0,496316477
14;1;CHUQUISACA;10405;EL VILLAR;53;0,516105062
15;1;CHUQUISACA;10501;MONTEAGUDO;720;1,018514168
16;1;CHUQUISACA;10502;HUACARETA;156;0,634885976
17;1;CHUQUISACA;10601;TARABUCO;374;0,754707177
18;1;CHUQUISACA;10602;YAMPARAEZ;104;0,486657727
19;1;CHUQUISACA;10701;CAMARGO;442;1,160167142
20;1;CHUQUISACA;10702;SAN LUCAS;754;0,851669998
21;1;CHUQUISACA;10703;INCAHUASI;278;0,702107978
22;1;CHUQUISACA;10704;VILLA CHARCAS;305;1,018235205
23;1;CHUQUISACA;10801;VILLA SERRANO;231;0,784709897
24;1;CHUQUISACA;10901;CAMATAQUI (C. VILLA ABECIA);58;0,705396558
25;1;CHUQUISACA;10902;CULPINA;362;0,820735625
26;1;CHUQUISACA;10903;LAS CARRERAS;71;0,754599451
27;1;CHUQUISACA;11001;VILLA VACA GUZMAN (MUYUPAMPA);226;0,774703618
28;1;CHUQUISACA;11002;HUACAYA (VILLA DE HUACAYA);52;0,794269468
29;1;CHUQUISACA;11003;MACHARETI;164;0,706125972
30;2;LA PAZ;20101;LA PAZ;12722;0,527878726
31;2;LA PAZ;20102;PALCA;153;0,365899319
32;2;LA PAZ;20103;MECAPACA;90;0,252886357
33;2;LA PAZ;20104;ACHOCALLA;112;0,246624359
34;2;LA PAZ;20105;EL ALTO;13403;0,495360991
35;2;LA PAZ;20201;ACHACACHI;508;0,395145641
36;2;LA PAZ;20202;ANCORAIMES;128;0,367734616
37;2;LA PAZ;20203;HUARINA;49;0,24642371
38;2;LA PAZ;20204;SANTIAGO DE HUATA;43;0,213374571
39;2;LA PAZ;20301;CORO CORO;108;0,472560526
40;2;LA PAZ;20302;CAQUIAVIRI;85;0,347465194
41;2;LA PAZ;20303;CALACOTO;40;0,219564935
42;2;LA PAZ;20304;COMANCHE;23;0,338190106
43;2;LA PAZ;20305;CHARAÑA;29;0,532062481
44;2;LA PAZ;20306;WALDO BALLIVIAN;20;0,572308781
45;2;LA PAZ;20307;NAZACARA DE PACAJES;14;1,602441407
46;2;LA PAZ;20308;SANTIAGO DE CALLAPA;43;0,282164552
47;2;LA PAZ;20401;PUERTO ACOSTA;86;0,279366798
48;2;LA PAZ;20402;MOCOMOCO;133;0,492197527
49;2;LA PAZ;20403;PUERTO CARABUCO;113;0,334497135
50;2;LA PAZ;20404;HUMANATA;31;0,277388196
51;2;LA PAZ;20405;ESCOMA;164;1,26110964
52;2;LA PAZ;20501;CHUMA;93;0,280956557
53;2;LA PAZ;20502;AYATA;82;0,337159474
54;2;LA PAZ;20503;AUCAPATA;21;0,284041683
55;2;LA PAZ;20601;SORATA;258;0,557925835
56;2;LA PAZ;20602;GUANAY;240;1,024790728
57;2;LA PAZ;20603;TACACOMA;90;0,77566596
