id;cod_dep;departamento;cod_mun;municipio;mujeres_con_4ta_consulta_ prenatal;cobertura
89;2;LA PAZ    ;21105;LA ASUNTA                     ;847;1,095730918
90;2;LA PAZ    ;21201;PUCARANI                      ;429;1,041262136
91;2;LA PAZ    ;21202;LAJA                          ;226;1,046296296
92;2;LA PAZ    ;21203;BATALLAS                      ;190;0,896226415
93;2;LA PAZ    ;21204;PUERTO PEREZ                  ;50;0,549450549
94;2;LA PAZ    ;21301;SICA SICA (VILLA AROMA)       ;203;0,598820059
95;2;LA PAZ    ;21302;UMALA                         ;78;0,527027027
96;2;LA PAZ    ;21303;AYO AYO                       ;88;0,698412698
97;2;LA PAZ    ;21304;CALAMARCA                     ;132;0,602739726
98;2;LA PAZ    ;21305;PATACAMAYA                    ;427;0,924242424
99;2;LA PAZ    ;21306;COLQUENCHA                    ;112;0,704402516
100;2;LA PAZ    ;21307;COLLANA                       ;32;0,941176471
101;2;LA PAZ    ;21401;COROICO                       ;242;0,576190476
102;2;LA PAZ    ;21402;CORIPATA                      ;228;1,1875
103;2;LA PAZ    ;21501;IXIAMAS                       ;235;1,398809524
104;2;LA PAZ    ;21502;SAN BUENA VENTURA             ;296;1,053380783
105;2;LA PAZ    ;21601;GRAL. J.J. PEREZ  (CHARAZANI) ;113;0,763513514
106;2;LA PAZ    ;21602;CURVA                         ;21;0,355932203
107;2;LA PAZ    ;21701;COPACABANA                    ;161;0,964071856
108;2;LA PAZ    ;21702;SAN PEDRO DE TIQUINA          ;39;0,672413793
109;2;LA PAZ    ;21703;TITO YUPANQUI (PARQUIPUJIO)   ;9;0,692307692
110;2;LA PAZ    ;21801;SAN PEDRO DE CURAHUARA        ;49;0,532608696
111;2;LA PAZ    ;21802;PAPEL PAMPA                   ;54;0,613636364
112;2;LA PAZ    ;21803;CHACARILLA                    ;16;1,142857143
113;2;LA PAZ    ;21901;SANTIAGO DE MACHACA           ;34;0,68
114;2;LA PAZ    ;21902;CATACORA                      ;4;0,402781871
115;2;LA PAZ    ;22001;CARANAVI                      ;1031;0,799224806
116;2;LA PAZ    ;22002;ALTO BENI                     ;112;0,691358025
117;3;COCHABAMBA;30101;COCHABAMBA                    ;13183;0,598683015
118;3;COCHABAMBA;30201;AIQUILE                       ;232;0,481327801
119;3;COCHABAMBA;30202;PASORAPA                      ;17;0,485714286
120;3;COCHABAMBA;30203;OMEREQUE                      ;69;0,811764706
121;3;COCHABAMBA;30301;AYOPAYA (V. DE INDEPENDENCIA) ;279;0,678832117
122;3;COCHABAMBA;30302;MOROCHATA                     ;120;0,582524272
123;3;COCHABAMBA;30303;COCAPATA                      ;188;0,606451613
124;3;COCHABAMBA;30401;TARATA                        ;150;1,327433628
125;3;COCHABAMBA;30402;ANZALDO                       ;58;0,563106796
126;3;COCHABAMBA;30403;ARBIETO                       ;291;1,450612928
127;3;COCHABAMBA;30404;SACABAMBA                     ;43;0,641791045
128;3;COCHABAMBA;30501;ARANI                         ;164;1,123287671
129;3;COCHABAMBA;30502;VACAS                         ;77;0,503267974
130;3;COCHABAMBA;30601;ARQUE                         ;109;0,402214022
131;3;COCHABAMBA;30602;TACOPAYA                      ;73;0,41954023
132;3;COCHABAMBA;30701;CAPINOTA                      ;335;1,200716846
133;3;COCHABAMBA;30702;SANTIVAÑES                    ;66;0,985074627
134;3;COCHABAMBA;30703;SICAYA                        ;34;0,653846154
135;3;COCHABAMBA;30801;CLIZA                         ;278;0,7120813
136;3;COCHABAMBA;30802;TOCO                          ;43;0,728813559
137;3;COCHABAMBA;30803;TOLATA                        ;147;2,409836066
138;3;COCHABAMBA;30901;QUILLACOLLO                   ;2679;1,119981228
139;3;COCHABAMBA;30902;SIPE SIPE                     ;1068;1,992537313
140;3;COCHABAMBA;30903;TIQUIPAYA                     ;1343;1,113598673
141;3;COCHABAMBA;30904;VINTO                         ;936;0,914956012
142;3;COCHABAMBA;30905;COLCAPIRHUA                   ;980;1,543307087
143;3;COCHABAMBA;31001;SACABA                        ;2989;1,127924528
144;3;COCHABAMBA;31002;COLOMI                        ;256;0,764179104
145;3;COCHABAMBA;31003;VILLA TUNARI                  ;1364;0,643396226
146;3;COCHABAMBA;31101;TAPACARI                      ;253;0,545258621
147;3;COCHABAMBA;31201;TOTORA(CBBA)                  ;141;0,444794953
148;3;COCHABAMBA;31202;POJO (CBBA)                   ;126;0,597156398
149;3;COCHABAMBA;31203;POCONA                        ;138;0,71875
150;3;COCHABAMBA;31204;CHIMORE                       ;358;1,591111111
151;3;COCHABAMBA;31205;PUERTO VILLARROEL             ;897;0,588196721
152;3;COCHABAMBA;31206;ENTRE RIOS CBBA               ;839;2,231382979
153;3;COCHABAMBA;31301;MIZQUE                        ;390;0,75
154;3;COCHABAMBA;31302;VILA VILA                     ;27;0,313953488
155;3;COCHABAMBA;31303;ALALAY                        ;19;0,351851852
156;3;COCHABAMBA;31401;PUNATA                        ;495;0,486247544
157;3;COCHABAMBA;31402;VILLA RIVERO                  ;111;1,305882353
158;3;COCHABAMBA;31403;SAN BENITO                    ;194;2,586666667
159;3;COCHABAMBA;31404;TACACHI                       ;2;0,2
160;3;COCHABAMBA;31405;CUCHUMUELA (V. G. VILLARROEL) ;20;1,333333333
161;3;COCHABAMBA;31501;BOLIVAR                       ;47;0,328671329
162;3;COCHABAMBA;31601;TIRAQUE (CBBA)                ;261;0,820754717
163;3;COCHABAMBA;31602;SHINAOTA                      ;512;0,810126582
164;4;ORURO     ;40101;ORURO                         ;6039;0,729171698
165;4;ORURO     ;40102;CARACOLLO                     ;309;1,136029412
166;4;ORURO     ;40103;EL CHORO                      ;42;0,538461538
167;4;ORURO     ;40104;SORACACHI                     ;98;0,837606838
168;4;ORURO     ;40201;CHALLAPATA                    ;577;0,682901798
169;4;ORURO     ;40202;SANTUARIO DE QUILLACAS        ;56;0,949152542
170;4;ORURO     ;40301;CORQUE                        ;65;0,773809524
171;4;ORURO     ;40302;CHOQUE COTA                   ;4;0,363636364
172;4;ORURO     ;40401;CURAHUARA DE CARANGAS         ;65;0,833333333
173;4;ORURO     ;40402;TURCO                         ;36;0,972972973
174;4;ORURO     ;40501;HUACHACALLA                   ;20;1,736128756
175;4;ORURO     ;40502;ESCARA                        ;0;0
176;4;ORURO     ;40503;CRUZ DE MACHACAMARCA          ;2;2
177;4;ORURO     ;40504;YUNGUYO DE LITORAL;0;0
178;4;ORURO     ;40505;ESMERALDA                     ;2;6,293466742
179;4;ORURO     ;40601;POOPO                         ;56;0,933333333
180;4;ORURO     ;40602;PAZÑA                         ;55;0,785714286
181;4;ORURO     ;40603;ANTEQUERA                     ;50;1,5625
182;4;ORURO     ;40701;HUANUNI                       ;487;1,129091289
183;4;ORURO     ;40702;MACHACAMARCA                  ;38;0,76
184;4;ORURO     ;40801;SALINAS DE GARCI MENDOZA      ;107;0,613018608
185;4;ORURO     ;40802;PAMPA AULLAGAS                ;40;0,869565217
186;4;ORURO     ;40901;SABAYA                        ;37;1,088235294
187;4;ORURO     ;40902;COIPASA                       ;2;0,143033335
188;4;ORURO     ;40903;CHIPAYA                       ;19;0,463414634
189;4;ORURO     ;41001;TOLEDO                        ;45;0,714285714
190;4;ORURO     ;41101;EUCALIPTUS                    ;55;0,774647887
191;4;ORURO     ;41201;ANDAMARCA                     ;50;1,25
192;4;ORURO     ;41202;BELEN DE ANDAMARCA            ;12;0,6
193;4;ORURO     ;41301;TOTORA(ORR)                   ;49;0,690140845
194;4;ORURO     ;41401;SANTIAGO DE HUARI             ;99;0,785714286
195;4;ORURO     ;41501;LA RIVERA                     ;2;1
196;4;ORURO     ;41502;TODOS SANTOS                  ;5;2,860666701
197;4;ORURO     ;41503;CARANGAS                      ;0;0
198;4;ORURO     ;41601;HUAYLLAMARCA                  ;36;0,765957447
199;5;POTOSI    ;50101;POTOSI                        ;4302;0,552459227
200;5;POTOSI    ;50102;TINGUIPAYA                    ;251;0,508097166
201;5;POTOSI    ;50103;YOCALLA                       ;123;1,28125
202;5;POTOSI    ;50104;BELEN DE URMIRI               ;26;1,238095238
203;5;POTOSI    ;50201;UNCIA                         ;457;0,880539499
204;5;POTOSI    ;50202;CHAYANTA                      ;221;0,53902439
205;5;POTOSI    ;50203;LLALLAGUA                     ;871;0,704692557
206;5;POTOSI    ;50204;CHUQUIHUTA AYLLU JUCUMANI     ;112;0,554455446
207;5;POTOSI    ;50301;BETANZOS                      ;386;0,555395683
208;5;POTOSI    ;50302;CHAQUI                        ;124;0,855172414
209;5;POTOSI    ;50303;TACOBAMBA                     ;80;0,470588235
210;5;POTOSI    ;50401;COLQUECHACA                   ;387;0,406940063
211;5;POTOSI    ;50402;RAVELO                        ;177;0,430656934
212;5;POTOSI    ;50403;POCOATA                       ;287;0,450549451
213;5;POTOSI    ;50404;OCURI                         ;210;0,4595186
214;5;POTOSI    ;50501;SAN PEDRO DE BUENA VISTA      ;321;0,629411765
215;5;POTOSI    ;50502;TORO TORO                     ;152;0,520547945
216;5;POTOSI    ;50601;COTAGAITA                     ;284;0,685990338
217;5;POTOSI    ;50602;VITICHI                       ;118;0,659217877
218;5;POTOSI    ;50701;SACACA                        ;249;0,583138173
219;5;POTOSI    ;50702;CARIPUYO                      ;124;0,450909091
220;5;POTOSI    ;50801;TUPIZA                        ;874;0,656649136
221;5;POTOSI    ;50802;ATOCHA                        ;139;0,492907801
222;5;POTOSI    ;50901;"COLCHA ""K""                    ";158;0,724770642
223;5;POTOSI    ;50902;SAN PEDRO DE QUEMES           ;9;0,818181818
224;5;POTOSI    ;51001;SAN PABLO DE LIPEZ            ;32;0,484848485
225;5;POTOSI    ;51002;MOJINETE                      ;8;0,491197404
226;5;POTOSI    ;51003;SAN ANTONIO DE ESMORUCO       ;29;0,557692308
227;5;POTOSI    ;51101;PUNA                          ;285;0,678571429
228;5;POTOSI    ;51102;"CAIZA ""D""                     ";125;0,850340136
229;5;POTOSI    ;51103;CKOCHAS                       ;177;0,422434368
230;5;POTOSI    ;51201;UYUNI                         ;648;0,635917566
231;5;POTOSI    ;51202;TOMAVE                        ;143;0,572
232;5;POTOSI    ;51203;PORCO                         ;197;0,891402715
233;5;POTOSI    ;51301;ARAMPAMPA                     ;51;0,459459459
234;5;POTOSI    ;51302;ACACIO                        ;48;0,393442623
235;5;POTOSI    ;51401;LLICA                         ;58;0,617021277
236;5;POTOSI    ;51402;TAHUA                         ;9;0,428571429
237;5;POTOSI    ;51501;VILLAZON                      ;767;0,754178958
