id;cod_dep;departamento;cod_mun;municipio;mujeres_con_4ta_consulta_ prenatal;cobertura
1;1;CHUQUISACA;10101;SUCRE;8865;0,896918932
2;1;CHUQUISACA;10102;YOTALA;130;0,404142702
3;1;CHUQUISACA;10103;POROMA;306;0,507416645
4;1;CHUQUISACA;10201;AZURDUY;232;0,813897459
5;1;CHUQUISACA;10202;TARVITA;307;0,72755521
6;1;CHUQUISACA;10301;ZUDAÑEZ;103;0,553599509
7;1;CHUQUISACA;10302;PRESTO;139;0,551132409
8;1;CHUQUISACA;10303;MOJOCOYA;141;0,743211808
9;1;CHUQUISACA;10304;ICLA;153;0,587650175
10;1;CHUQUISACA;10401;PADILLA;275;0,928205615
11;1;CHUQUISACA;10402;TOMINA;192;0,729827193
12;1;CHUQUISACA;10403;SOPACHUY;164;0,775585795
13;1;CHUQUISACA;10404;ALCALA;54;0,503439098
14;1;CHUQUISACA;10405;EL VILLAR;60;0,592665242
15;1;CHUQUISACA;10501;MONTEAGUDO;627;0,899915645
16;1;CHUQUISACA;10502;HUACARETA;194;0,801100307
17;1;CHUQUISACA;10601;TARABUCO;370;0,757103463
18;1;CHUQUISACA;10602;YAMPARAEZ;102;0,483998874
19;1;CHUQUISACA;10701;CAMARGO;407;1,083103027
20;1;CHUQUISACA;10702;SAN LUCAS;884;1,012346851
21;1;CHUQUISACA;10703;INCAHUASI;321;0,821942075
22;1;CHUQUISACA;10704;VILLA CHARCAS;281;0,951111992
23;1;CHUQUISACA;10801;VILLA SERRANO;264;0,90994385
24;1;CHUQUISACA;10901;CAMATAQUI (C. VILLA ABECIA);47;0,579979672
25;1;CHUQUISACA;10902;CULPINA;341;0,784414458
26;1;CHUQUISACA;10903;LAS CARRERAS;65;0,700943043
27;1;CHUQUISACA;11001;VILLA VACA GUZMAN (MUYUPAMPA);220;0,765454889
28;1;CHUQUISACA;11002;HUACAYA (VILLA DE HUACAYA);63;0,976757908
29;1;CHUQUISACA;11003;MACHARETI;191;0,834723761
30;2;LA PAZ;20101;LA PAZ;13767;0,579555746
31;2;LA PAZ;20102;PALCA;88;0,213517284
32;2;LA PAZ;20103;MECAPACA;96;0,273674116
33;2;LA PAZ;20104;ACHOCALLA;96;0,214470657
34;2;LA PAZ;20105;EL ALTO;12411;0,465376538
35;2;LA PAZ;20201;ACHACACHI;579;0,457345972
36;2;LA PAZ;20202;ANCORAIMES;142;0,414272113
