id;cod_dep;departamento;cod_mun;municipio;mujeres_con_4ta_consulta_ prenatal;cobertura
1;01;CHUQUISACA;010101;SUCRE;8738;0,88406967
2;01;CHUQUISACA;010102;YOTALA;133;0,413469072
3;01;CHUQUISACA;010103;POROMA;338;0,560479824
4;01;CHUQUISACA;010201;AZURDUY;188;0,659537596
5;01;CHUQUISACA;010202;TARVITA;303;0,718075663
6;01;CHUQUISACA;010301;ZUDAÑEZ;122;0,655719806
7;01;CHUQUISACA;010302;PRESTO;134;0,531307502
8;01;CHUQUISACA;010303;MOJOCOYA;131;0,690501751
9;01;CHUQUISACA;010304;ICLA;140;0,537719115
10;01;CHUQUISACA;010401;PADILLA;178;0,60080218
11;01;CHUQUISACA;010402;TOMINA;156;0,592984595
12;01;CHUQUISACA;010403;SOPACHUY;158;0,747210705
13;01;CHUQUISACA;010404;ALCALA;32;0,29833428
14;01;CHUQUISACA;010405;EL VILLAR;60;0,592665242
15;01;CHUQUISACA;010501;MONTEAGUDO;832;1,194146438
16;01;CHUQUISACA;010502;HUACARETA;209;0,863041053
17;01;CHUQUISACA;010601;TARABUCO;395;0,808259102
18;01;CHUQUISACA;010602;YAMPARAEZ;119;0,564665353
19;01;CHUQUISACA;010701;CAMARGO;348;0,926093006
20;01;CHUQUISACA;010702;SAN LUCAS;908;1,039831381
21;01;CHUQUISACA;010703;INCAHUASI;601;0,876116129
22;01;CHUQUISACA;010801;VILLA SERRANO;187;0,64454356
23;01;CHUQUISACA;010901;CAMATAQUI (C. VILLA ABECIA);51;0,629339644
24;01;CHUQUISACA;010902;CULPINA;299;0,687800361
25;01;CHUQUISACA;010903;LAS CARRERAS;54;0,582321912
26;01;CHUQUISACA;011001;VILLA VACA GUZMAN (MUYUPAMPA);185;0,643677975
27;01;CHUQUISACA;011002;HUACAYA (VILLA DE HUACAYA);42;0,651171939
28;01;CHUQUISACA;011003;MACHARETI;151;0,659912502
29;02;LA PAZ;020101;LA PAZ;12364;0,520493008
30;02;LA PAZ;020102;PALCA;208;0,504677217
31;02;LA PAZ;020103;MECAPACA;98;0,279375661
32;02;LA PAZ;020104;ACHOCALLA;104;0,232343211
33;02;LA PAZ;020105;EL ALTO;14441;0,541495656
34;02;LA PAZ;020201;ACHACACHI;617;0,371662484
35;02;LA PAZ;020202;ANCORAIMES;163;0,475537708
36;02;LA PAZ;020301;CORO CORO;94;0,417906835
37;02;LA PAZ;020302;CAQUIAVIRI;82;0,340588586
38;02;LA PAZ;020303;CALACOTO;40;0,22309039
39;02;LA PAZ;020304;COMANCHE;32;0,478097362
40;02;LA PAZ;020305;CHARAÑA;20;0,372833211
41;02;LA PAZ;020306;WALDO BALLIVIAN;29;0,843164425
42;02;LA PAZ;020307;NAZACARA DE PACAJES;9;1,046686873
43;02;LA PAZ;020308;SANTIAGO DE CALLAPA;80;0,533382236
44;02;LA PAZ;020401;PUERTO ACOSTA;249;0,459988022
45;02;LA PAZ;020402;MOCOMOCO;126;0,473739246
46;02;LA PAZ;020403;PUERTO CARABUCO;110;0,330816891
47;02;LA PAZ;020501;CHUMA;85;0,260453021
48;02;LA PAZ;020502;AYATA;43;0,179329128
49;02;LA PAZ;020503;AUCAPATA;34;0,466441335
50;02;LA PAZ;020601;SORATA;220;0,482438346
51;02;LA PAZ;020602;GUANAY;201;0,870355066
52;02;LA PAZ;020603;TACACOMA;104;0,908936167
53;02;LA PAZ;020604;QUIABAYA;41;0,728481142
