id;cod_dep;departamento;cod_mun;municipio;mujeres_con_4ta_consulta_ prenatal;cobertura
1;1;CHUQUISACA;10101;SUCRE;7737;0,756777323
2;1;CHUQUISACA;10102;YOTALA;140;0,420758253
3;1;CHUQUISACA;10103;POROMA;316;0,50654728
4;1;CHUQUISACA;10201;AZURDUY;155;0,529407255
5;1;CHUQUISACA;10202;TARVITA;261;0,60217903
6;1;CHUQUISACA;10301;ZUDAÑEZ;132;0,690182859
7;1;CHUQUISACA;10302;PRESTO;171;0,659629853
8;1;CHUQUISACA;10303;MOJOCOYA;110;0,564040854
9;1;CHUQUISACA;10304;ICLA;157;0,58664176
10;1;CHUQUISACA;10401;PADILLA;250;0,820282364
11;1;CHUQUISACA;10402;TOMINA;166;0,613381041
12;1;CHUQUISACA;10403;SOPACHUY;139;0,639034644
13;1;CHUQUISACA;10404;ALCALA;56;0,507518236
14;1;CHUQUISACA;10405;EL VILLAR;55;0,52809996
15;1;CHUQUISACA;10501;MONTEAGUDO;577;0,804638454
16;1;CHUQUISACA;10502;HUACARETA;175;0,702078437
17;1;CHUQUISACA;10601;TARABUCO;349;0,694654265
18;1;CHUQUISACA;10602;YAMPARAEZ;127;0,586169666
19;1;CHUQUISACA;10701;CAMARGO;407;1,053893626
20;1;CHUQUISACA;10702;SAN LUCAS;814;0,90704427
21;1;CHUQUISACA;10703;INCAHUASI;261;0,650284939
22;1;CHUQUISACA;10704;VILLA CHARCAS;305;1,00450519
23;1;CHUQUISACA;10801;VILLA SERRANO;172;0,575973561
24;1;CHUQUISACA;10901;CAMATAQUI (C. VILLA ABECIA);45;0,539508936
25;1;CHUQUISACA;10902;CULPINA;406;0,907432305
26;1;CHUQUISACA;10903;LAS CARRERAS;66;0,691482571
27;1;CHUQUISACA;11001;VILLA VACA GUZMAN (MUYUPAMPA);224;0,756659269
28;1;CHUQUISACA;11002;HUACAYA (VILLA DE HUACAYA);93;1,399783702
29;1;CHUQUISACA;11003;MACHARETI;148;0,627948443
30;2;LA PAZ;20101;LA PAZ;10959;0,448293041
31;2;LA PAZ;20102;PALCA;139;0,327713474
32;2;LA PAZ;20103;MECAPACA;112;0,310249305
33;2;LA PAZ;20104;ACHOCALLA;134;0,29089317
34;2;LA PAZ;20105;EL ALTO;12277;0,447325419
35;2;LA PAZ;20201;ACHACACHI;395;0,302634715
36;2;LA PAZ;20202;ANCORAIMES;131;0,370701211
37;2;LA PAZ;20203;HUARINA;58;0,287304594
38;2;LA PAZ;20204;SANTIAGO DE HUATA;76;0,371463343
39;2;LA PAZ;20301;CORO CORO;80;0,344599155
40;2;LA PAZ;20302;CAQUIAVIRI;59;0,237426501
41;2;LA PAZ;20303;CALACOTO;37;0,199937983
42;2;LA PAZ;20304;COMANCHE;21;0,303968093
43;2;LA PAZ;20305;CHARAÑA;17;0,307045075
44;2;LA PAZ;20306;WALDO BALLIVIAN;26;0,732433573
45;2;LA PAZ;20307;NAZACARA DE PACAJES;2;0,225357758
46;2;LA PAZ;20308;SANTIAGO DE CALLAPA;40;0,258397193
47;2;LA PAZ;20401;PUERTO ACOSTA;166;0,530897549
48;2;LA PAZ;20402;MOCOMOCO;129;0,47000642
49;2;LA PAZ;20403;PUERTO CARABUCO;113;0,329320446
50;2;LA PAZ;20404;HUMANATA;46;0,405238227
51;2;LA PAZ;20405;ESCOMA;122;0,923623813
52;2;LA PAZ;20501;CHUMA;62;0,184705428
53;2;LA PAZ;20502;AYATA;77;0,312203344
54;2;LA PAZ;20503;AUCAPATA;31;0,41348063
55;2;LA PAZ;20601;SORATA;203;0,432986038
56;2;LA PAZ;20602;GUANAY;252;1,061284633
57;2;LA PAZ;20603;TACACOMA;106;0,901060345
58;2;LA PAZ;20604;QUIABAYA;29;0,50114838
59;2;LA PAZ;20605;COMBAYA;28;0,531895594
60;2;LA PAZ;20606;TIPUANI;244;1,915395108
61;2;LA PAZ;20607;MAPIRI;289;1,456537184
62;2;LA PAZ;20608;TEOPONTE;160;1,092689501
63;2;LA PAZ;20701;APOLO;273;1,047761774
64;2;LA PAZ;20702;PELECHUCO;67;0,673186831
65;2;LA PAZ;20801;VIACHA;849;0,713836468
