id,cod_dep,departamento,cod_mun,municipio,mujeres_con_4ta_consulta_ prenatal,cobertura
95,2,LA PAZ,21302,UMALA,76,"0,298565927"
96,2,LA PAZ,21303,AYO AYO,98,"0,623648841"
97,2,LA PAZ,21304,CALAMARCA,152,"0,499136039"
98,2,LA PAZ,21305,PATACAMAYA,460,"0,875507438"
99,2,LA PAZ,21306,COLQUENCHA,129,"0,570774355"
100,2,LA PAZ,21307,COLLANA,19,"0,217222381"
101,2,LA PAZ,21401,COROICO,269,"0,878995352"
102,2,LA PAZ,21402,CORIPATA,183,"0,616097638"
103,2,LA PAZ,21501,IXIAMAS,135,"0,847061574"
104,2,LA PAZ,21502,SAN BUENA VENTURA,222,"1,42801191"
105,2,LA PAZ,21601,GRAL. J.J. PEREZ  (CHARAZANI),107,"0,556941524"
106,2,LA PAZ,21602,CURVA,24,"0,415898541"
107,2,LA PAZ,21701,COPACABANA,168,"0,51769563"
108,2,LA PAZ,21702,SAN PEDRO DE TIQUINA,40,"0,323230875"
109,2,LA PAZ,21703,TITO YUPANQUI (PARQUIPUJIO),8,"0,128133367"
110,2,LA PAZ,21801,SAN PEDRO DE CURAHUARA,46,"0,224527639"
111,2,LA PAZ,21802,PAPEL PAMPA,56,"0,40740503"
112,2,LA PAZ,21803,CHACARILLA,9,"0,270636028"
113,2,LA PAZ,21901,SANTIAGO DE MACHACA,30,"0,328953885"
114,2,LA PAZ,21902,CATACORA,5,"0,088566124"
115,2,LA PAZ,22001,CARANAVI,818,"0,732322208"
116,2,LA PAZ,22002,ALTO BENI,157,"0,747821428"
117,3,COCHABAMBA,30101,COCHABAMBA,14456,"0,729690144"
118,3,COCHABAMBA,30201,AIQUILE,339,"0,47601867"
119,3,COCHABAMBA,30202,PASORAPA,23,"0,256752901"
120,3,COCHABAMBA,30203,OMEREQUE,83,"0,550959084"
121,3,COCHABAMBA,30301,AYOPAYA (V. DE INDEPENDENCIA),250,"0,462812344"
