id;cod_dep;departamento;cod_mun;municipio;vaginales;cesareas;partos_atendidos_personal_salud;tot_gral;cobertura
1;1;CHUQUISACA;10101;SUCRE;4039;2095;68;6202;0,639401357
2;1;CHUQUISACA;10102;YOTALA;106;11;6;123;0,378906657
3;1;CHUQUISACA;10103;POROMA;158;;107;265;0,439958347
4;1;CHUQUISACA;10201;AZURDUY;84;9;107;200;0,695473246
5;1;CHUQUISACA;10202;TARVITA;213;15;66;294;0,699807759
6;1;CHUQUISACA;10301;ZUDAÑEZ;86;;35;121;0,642837253
7;1;CHUQUISACA;10302;PRESTO;41;;107;148;0,585966016
8;1;CHUQUISACA;10303;MOJOCOYA;89;;45;134;0,694593065
9;1;CHUQUISACA;10304;ICLA;61;;67;128;0,491566272
10;1;CHUQUISACA;10401;PADILLA;168;29;18;215;0,710489774
11;1;CHUQUISACA;10402;TOMINA;119;;21;140;0,533461765
12;1;CHUQUISACA;10403;SOPACHUY;77;17;32;126;0,596930037
13;1;CHUQUISACA;10404;ALCALA;38;;9;47;0,435162567
14;1;CHUQUISACA;10405;EL VILLAR;55;;5;60;0,576720184
15;1;CHUQUISACA;10501;MONTEAGUDO;387;125;31;543;0,775057473
16;1;CHUQUISACA;10502;HUACARETA;127;;20;147;0,598244861
17;1;CHUQUISACA;10601;TARABUCO;272;41;96;409;0,824383638
18;1;CHUQUISACA;10602;YAMPARAEZ;100;;16;116;0,531973739
19;1;CHUQUISACA;10701;CAMARGO;192;97;31;320;0,844635698
20;1;CHUQUISACA;10702;SAN LUCAS;386;6;368;760;0,862770456
21;1;CHUQUISACA;10703;INCAHUASI;291;;222;513;0,74359803
22;1;CHUQUISACA;10801;VILLA SERRANO;140;;39;179;0,605974957
23;1;CHUQUISACA;10901;CAMATAQUI (C. VILLA ABECIA);29;;10;39;0,471995522
24;1;CHUQUISACA;10902;CULPINA;196;32;89;317;0,712918394
25;1;CHUQUISACA;10903;LAS CARRERAS;29;;10;39;0,415186842
26;1;CHUQUISACA;11001;VILLA VACA GUZMAN (MUYUPAMPA);96;;42;138;0,479075076
27;1;CHUQUISACA;11002;HUACAYA (VILLA DE HUACAYA);7;;9;16;0,247728347
28;1;CHUQUISACA;11003;MACHARETI;56;;18;74;0,32849136
29;2;LA PAZ;20101;LA PAZ;12375;6839;13;19227;0,795128321
30;2;LA PAZ;20102;PALCA;22;;44;66;0,157566901
31;2;LA PAZ;20103;MECAPACA;59;;24;83;0,233755202
32;2;LA PAZ;20104;ACHOCALLA;47;;26;73;0,160174636
33;2;LA PAZ;20105;EL ALTO;11571;2664;24;14259;0,544110559
34;2;LA PAZ;20201;ACHACACHI;350;2;285;637;0,378657901
35;2;LA PAZ;20202;ANCORAIMES;74;;76;150;0,429441755
36;2;LA PAZ;20301;CORO CORO;32;;64;96;0,416723886
37;2;LA PAZ;20302;CAQUIAVIRI;17;;76;93;0,378480172
38;2;LA PAZ;20303;CALACOTO;3;;41;44;0,240806008
39;2;LA PAZ;20304;COMANCHE;6;;24;30;0,429319232
40;2;LA PAZ;20305;CHARAÑA;5;;16;21;0,383030813
41;2;LA PAZ;20306;WALDO BALLIVIAN;;;33;33;0,9458516
42;2;LA PAZ;20307;NAZACARA DE PACAJES;;;8;8;0,94416559
43;2;LA PAZ;20308;SANTIAGO DE CALLAPA;31;;60;91;0,590485191
44;2;LA PAZ;20401;PUERTO ACOSTA;122;9;96;227;0,411271335
45;2;LA PAZ;20402;MOCOMOCO;34;;89;123;0,453475342
46;2;LA PAZ;20403;PUERTO CARABUCO;16;;100;116;0,342159391
47;2;LA PAZ;20501;CHUMA;37;;48;85;0,26309767
48;2;LA PAZ;20502;AYATA;25;;38;63;0,268593643
49;2;LA PAZ;20503;AUCAPATA;3;;31;34;0,452360503
50;2;LA PAZ;20601;SORATA;130;;99;229;0,496064112
51;2;LA PAZ;20602;GUANAY;134;;27;161;0,67902044
52;2;LA PAZ;20603;TACACOMA;49;;2;51;0,429932545
53;2;LA PAZ;20604;QUIABAYA;1;;33;34;0,593182294
54;2;LA PAZ;20605;COMBAYA;3;;30;33;0,623442674
55;2;LA PAZ;20606;TIPUANI;179;;3;182;1,365579812
56;2;LA PAZ;20607;MAPIRI;229;;14;243;1,226466393
57;2;LA PAZ;20608;TEOPONTE;68;;36;104;0,711272085
58;2;LA PAZ;20701;APOLO;132;;60;192;0,743954347
59;2;LA PAZ;20702;PELECHUCO;4;;62;66;0,671497079
60;2;LA PAZ;20801;VIACHA;435;;57;492;0,422125222
61;2;LA PAZ;20802;GUAQUI;53;;36;89;0,435737719
62;2;LA PAZ;20803;TIAWANACU;146;;46;192;0,620445264
63;2;LA PAZ;20804;DESAGUADERO;59;;17;76;0,609443416
64;2;LA PAZ;20805;SAN ANDRES DE MACHACA;22;;27;49;0,310992065
65;2;LA PAZ;20806;JESUS DE MACHACA;80;;106;186;0,561332573
66;2;LA PAZ;20807;TARACO;28;;21;49;0,30238074
67;2;LA PAZ;20901;LURIBAY;44;;46;90;0,484106351
68;2;LA PAZ;20902;SAPAHAQUI;26;;42;68;0,207217387
69;2;LA PAZ;20903;YACO;19;;101;120;0,640325068
70;2;LA PAZ;20904;MALLA;4;;30;34;0,313492481
71;2;LA PAZ;20905;CAIROMA;60;;66;126;0,473763749
72;2;LA PAZ;21001;INQUISIVI;26;;104;130;0,379659016
73;2;LA PAZ;21002;QUIME;55;;36;91;0,638831424
74;2;LA PAZ;21003;CAJUATA;108;;54;162;1,188840542
75;2;LA PAZ;21004;COLQUIRI;96;;265;361;0,898403657
76;2;LA PAZ;21005;ICHOCA;6;;39;45;0,318580926
77;2;LA PAZ;21006;LICOMA PAMPA;13;;2;15;0,242313029
78;2;LA PAZ;21101;CHULUMANI (V. DE LA LIBERTAD);284;9;28;321;0,927475451
79;2;LA PAZ;21102;IRUPANA (VILLA DE LANZA);80;;73;153;0,650088601
80;2;LA PAZ;21103;YANACACHI;33;;5;38;0,433682431
81;2;LA PAZ;21104;PALOS BLANCOS;386;;64;450;1,047642545
82;2;LA PAZ;21105;LA ASUNTA;330;;121;451;0,845351922
83;2;LA PAZ;21201;PUCARANI;65;;187;252;0,383786757
84;2;LA PAZ;21202;LAJA;64;;86;150;0,397140118
85;2;LA PAZ;21203;BATALLAS;75;;80;155;0,358855921
86;2;LA PAZ;21204;PUERTO PEREZ;7;;41;48;0,281922981
87;2;LA PAZ;21301;SICA SICA (VILLA AROMA);139;;89;228;0,324753818
88;2;LA PAZ;21302;UMALA;31;;86;117;0,47384572
89;2;LA PAZ;21303;AYO AYO;79;;26;105;0,673057339
90;2;LA PAZ;21304;CALAMARCA;74;;66;140;0,469714487
91;2;LA PAZ;21305;PATACAMAYA;312;21;15;348;0,680119281
92;2;LA PAZ;21306;COLQUENCHA;36;;100;136;0,621274716
93;2;LA PAZ;21307;COLLANA;14;;9;23;0,273377329
94;2;LA PAZ;21401;COROICO;226;108;22;356;1,185299151
95;2;LA PAZ;21402;CORIPATA;141;;19;160;0,546689885
96;2;LA PAZ;21501;IXIAMAS;94;;32;126;0,831580055
97;2;LA PAZ;21502;SAN BUENA VENTURA;150;72;32;254;1,680782906
98;2;LA PAZ;21601;GRAL. J.J. PEREZ  (CHARAZANI);29;;61;90;0,474190307
99;2;LA PAZ;21602;CURVA;;;45;45;0,804686582
100;2;LA PAZ;21701;COPACABANA;112;;31;143;0,445786698
101;2;LA PAZ;21702;SAN PEDRO DE TIQUINA;18;;20;38;0,308919657
102;2;LA PAZ;21703;TITO YUPANQUI (PARQUIPUJIO);2;;4;6;0,09932435
103;2;LA PAZ;21801;SAN PEDRO DE CURAHUARA;3;;64;67;0,339458525
104;2;LA PAZ;21802;PAPEL PAMPA;29;;60;89;0,661353027
