id;cod_dep;departamento;cod_mun;municipio;vaginales;cesareas;partos_atendidos_personal_salud;tot_gral;cobertura
85;2;LA PAZ ;21103;YANACACHI;41;;9;50;0,577220638
86;2;LA PAZ ;21104;PALOS BLANCOS;454;;87;541;1,238051623
87;2;LA PAZ ;21105;LA ASUNTA;469;;154;623;1,13204111
88;2;LA PAZ ;21201;PUCARANI;101;;243;344;0,519935014
89;2;LA PAZ ;21202;LAJA;82;;110;192;0,508289295
90;2;LA PAZ ;21203;BATALLAS;77;;99;176;0,4076034
91;2;LA PAZ ;21204;PUERTO PEREZ;7;;45;52;0,30766846
92;2;LA PAZ ;21301;SICA SICA (VILLA AROMA);159;;126;285;0,398339563
93;2;LA PAZ ;21302;UMALA;82;;57;139;0,551766889
94;2;LA PAZ ;21303;AYO AYO;68;;45;113;0,72663316
95;2;LA PAZ ;21304;CALAMARCA;77;;111;188;0,623814019
96;2;LA PAZ ;21305;PATACAMAYA;277;51;44;372;0,715432173
97;2;LA PAZ ;21306;COLQUENCHA;83;;67;150;0,67064038
98;2;LA PAZ ;21307;COLLANA;17;;8;25;0,2888119
99;2;LA PAZ ;21401;COROICO;175;109;16;300;0,991350202
100;2;LA PAZ ;21402;CORIPATA;148;;66;214;0,728545122
101;2;LA PAZ ;21501;IXIAMAS;114;;30;144;0,911638351
102;2;LA PAZ ;21502;SAN BUENA VENTURA;192;46;32;270;1,752328087
103;2;LA PAZ ;21601;GRAL. J.J. PEREZ  (CHARAZANI);26;;84;110;0,57854159
104;2;LA PAZ ;21602;CURVA;4;;40;44;0,770449453
105;2;LA PAZ ;21701;COPACABANA;106;;36;142;0,442887746
106;2;LA PAZ ;21702;SAN PEDRO DE TIQUINA;25;;25;50;0,408905575
107;2;LA PAZ ;21703;TITO YUPANQUI (PARQUIPUJIO);;;13;13;0,210733105
108;2;LA PAZ ;21801;SAN PEDRO DE CURAHUARA;12;;75;87;0,429593984
109;2;LA PAZ ;21802;PAPEL PAMPA;8;;68;76;0,559341768
110;2;LA PAZ ;21803;CHACARILLA;;;13;13;0,395466436
111;2;LA PAZ ;21901;SANTIAGO DE MACHACA;22;;15;37;0,410874129
112;2;LA PAZ ;21902;CATACORA;1;;9;10;0,179385379
113;2;LA PAZ ;22001;CARANAVI;815;215;139;1169;1,056427974
114;2;LA PAZ ;22002;ALTO BENI;118;;34;152;0,73083329
115;3;COCHABAMBA;30101;COCHABAMBA;10635;9004;24;19663;1,008804661
116;3;COCHABAMBA;30201;AIQUILE;337;126;49;512;0,729485928
117;3;COCHABAMBA;30202;PASORAPA;23;;19;42;0,475730936
118;3;COCHABAMBA;30203;OMEREQUE;67;;22;89;0,599451164
119;3;COCHABAMBA;30301;AYOPAYA (V. DE INDEPENDENCIA);214;6;146;366;0,687473476
120;3;COCHABAMBA;30302;MOROCHATA;129;;124;253;0,577378293
121;3;COCHABAMBA;30303;COCAPATA;73;;246;319;0,64410438
122;3;COCHABAMBA;30401;TARATA;75;;6;81;0,383043343
123;3;COCHABAMBA;30402;ANZALDO;42;;65;107;0,544032181
124;3;COCHABAMBA;30403;ARBIETO;111;;32;143;0,565293717
125;3;COCHABAMBA;30404;SACABAMBA;49;;24;73;0,581612057
126;3;COCHABAMBA;30501;ARANI;138;;17;155;0,68409601
127;3;COCHABAMBA;30502;VACAS;100;;44;144;0,390069284
128;3;COCHABAMBA;30601;ARQUE;55;;251;306;0,972249472
129;3;COCHABAMBA;30602;TACOPAYA;41;;106;147;0,438695814
130;3;COCHABAMBA;30701;CAPINOTA;267;;54;321;0,762895435
131;3;COCHABAMBA;30702;SANTIVAÑES;37;;7;44;0,276843141
132;3;COCHABAMBA;30703;SICAYA;16;;27;43;1,067006609
133;3;COCHABAMBA;30801;CLIZA;243;19;13;275;0,500580256
134;3;COCHABAMBA;30802;TOCO;45;;30;75;0,478103367
135;3;COCHABAMBA;30803;TOLATA;44;;3;47;0,262272595
136;3;COCHABAMBA;30901;QUILLACOLLO;1237;563;33;1833;0,457902736
137;3;COCHABAMBA;30902;SIPE SIPE;433;;42;475;0,387226324
138;3;COCHABAMBA;30903;TIQUIPAYA;747;253;54;1054;0,398748621
139;3;COCHABAMBA;30904;VINTO;758;106;43;907;0,726946574
140;3;COCHABAMBA;30905;COLCAPIRHUA;476;211;;687;0,333446235
141;3;COCHABAMBA;31001;SACABA;1833;516;67;2416;0,477754894
142;3;COCHABAMBA;31002;COLOMI;311;;15;326;0,6672784
143;3;COCHABAMBA;31003;VILLA TUNARI;1334;524;76;1934;1,493837475
144;3;COCHABAMBA;31101;TAPACARI;82;;329;411;0,536729429
145;3;COCHABAMBA;31201;TOTORA(CBBA);231;21;13;265;0,999810493
146;3;COCHABAMBA;31202;POJO (CBBA);223;;13;236;0,487475182
147;3;COCHABAMBA;31203;POCONA;179;;17;196;0,599344122
148;3;COCHABAMBA;31204;CHIMORE;190;;24;214;0,411781659
