id;cod_dep;departamento;cod_mun;municipio;vaginales;cesareas;partos_atendidos_personal_salud;tot_gral;cobertura
1;1;CHUQUISACA;10101;SUCRE;3926;2500;40;6466;0,636947724
2;1;CHUQUISACA;10102;YOTALA;91;9;2;102;0,30872895
3;1;CHUQUISACA;10103;POROMA;99;;138;237;0,382607808
4;1;CHUQUISACA;10201;AZURDUY;65;;97;162;0,557244488
5;1;CHUQUISACA;10202;TARVITA;175;11;50;236;0,548364965
6;1;CHUQUISACA;10301;ZUDAÑEZ;75;;22;97;0,510780783
7;1;CHUQUISACA;10302;PRESTO;36;;111;147;0,571076256
8;1;CHUQUISACA;10303;MOJOCOYA;80;;29;109;0,562881469
9;1;CHUQUISACA;10304;ICLA;57;;60;117;0,440282842
10;1;CHUQUISACA;10401;PADILLA;207;100;17;324;1,070633807
11;1;CHUQUISACA;10402;TOMINA;100;;15;115;0,427949652
12;1;CHUQUISACA;10403;SOPACHUY;83;8;20;111;0,513931407
13;1;CHUQUISACA;10404;ALCALA;33;;3;36;0,328578167
14;1;CHUQUISACA;10405;EL VILLAR;47;;2;49;0,473829506
15;1;CHUQUISACA;10501;MONTEAGUDO;335;188;22;545;0,765409855
16;1;CHUQUISACA;10502;HUACARETA;117;;27;144;0,581811974
17;1;CHUQUISACA;10601;TARABUCO;183;33;95;311;0,623413561
18;1;CHUQUISACA;10602;YAMPARAEZ;78;;18;96;0,446234792
19;1;CHUQUISACA;10701;CAMARGO;223;93;29;345;0,899692376
20;1;CHUQUISACA;10702;SAN LUCAS;341;6;267;614;0,689040941
21;1;CHUQUISACA;10703;INCAHUASI;118;;121;239;0,599699472
22;1;CHUQUISACA;10704;VILLA CHARCAS;114;;133;247;0,819260236
23;1;CHUQUISACA;10801;VILLA SERRANO;84;;25;109;0,367598031
24;1;CHUQUISACA;10901;CAMATAQUI (C. VILLA ABECIA);24;;7;31;0,374300493
25;1;CHUQUISACA;10902;CULPINA;216;4;111;331;0,745055754
26;1;CHUQUISACA;10903;LAS CARRERAS;47;;6;53;0,559223933
27;1;CHUQUISACA;11001;VILLA VACA GUZMAN (MUYUPAMPA);107;;46;153;0,520494741
28;1;CHUQUISACA;11002;HUACAYA (VILLA DE HUACAYA);33;;21;54;0,818548319
29;1;CHUQUISACA;11003;MACHARETI;51;;17;68;0,290565309
30;2;LA PAZ ;20101;LA PAZ;11950;8514;10;20474;0,834389202
31;2;LA PAZ ;20102;PALCA;40;;88;128;0,300652191
32;2;LA PAZ ;20103;MECAPACA;53;;41;94;0,259415281
33;2;LA PAZ ;20104;ACHOCALLA;76;;28;104;0,224924608
34;2;LA PAZ ;20105;EL ALTO;12235;3452;83;15770;0,572450476
35;2;LA PAZ ;20201;ACHACACHI;323;46;190;559;0,466494759
36;2;LA PAZ ;20202;ANCORAIMES;63;;120;183;0,614094924
37;2;LA PAZ ;20203;CHUA COCANI;2;;22;24;0,202167465
38;2;LA PAZ ;20204;HUARINA;25;;34;59;0,302249519
39;2;LA PAZ ;20205;SANTIAGO DE HUATA;19;;82;101;0,601940975
40;2;LA PAZ ;20206;HUATAJATA;20;;10;30;0,315592816
41;2;LA PAZ ;20301;CORO CORO;24;;66;90;0,386226116
42;2;LA PAZ ;20302;CAQUIAVIRI;21;;93;114;0,45704287
43;2;LA PAZ ;20303;CALACOTO;6;;36;42;0,226108963
44;2;LA PAZ ;20304;COMANCHE;3;;31;34;0,490300716
45;2;LA PAZ ;20305;CHARAÑA;6;;21;27;0,485838451
46;2;LA PAZ ;20306;WALDO BALLIVIAN;2;;24;26;0,729697988
47;2;LA PAZ ;20307;NAZACARA DE PACAJES;;;6;6;0,67354819
48;2;LA PAZ ;20308;SANTIAGO DE CALLAPA;23;;24;47;0,302482717
49;2;LA PAZ ;20401;PUERTO ACOSTA;37;;114;151;0,48133631
50;2;LA PAZ ;20402;MOCOMOCO;18;;141;159;0,577146558
51;2;LA PAZ ;20403;PUERTO CARABUCO;27;;124;151;0,438421764
52;2;LA PAZ ;20404;HUMANATA;11;;47;58;0,501828395
53;2;LA PAZ ;20405;ESCOMA;81;23;15;119;0,908005545
54;2;LA PAZ ;20501;CHUMA;25;;88;113;0,33538321
