id;cod_dep;departamento;cod_mun;municipio;vaginales;cesareas;partos_atendidos_personal_salud;tot_gral;cobertura
1;1;CHUQUISACA;10101;SUCRE                         ;4055;2755;40;6850;0,674774499
2;1;CHUQUISACA;10102;YOTALA                        ;97;3;8;108;0,326889477
3;1;CHUQUISACA;10103;POROMA                        ;86;0;149;235;0,37937905
4;1;CHUQUISACA;10201;AZURDUY                       ;72;0;83;155;0,533166023
5;1;CHUQUISACA;10202;TARVITA                       ;175;9;54;238;0,553012126
6;1;CHUQUISACA;10301;ZUDAÑEZ                       ;85;0;24;109;0,573970158
7;1;CHUQUISACA;10302;PRESTO                        ;48;0;101;149;0,578846001
8;1;CHUQUISACA;10303;MOJOCOYA                      ;75;0;25;100;0,516405017
9;1;CHUQUISACA;10304;ICLA                          ;66;0;56;122;0,459098348
10;1;CHUQUISACA;10401;PADILLA                       ;153;111;9;273;0,902108115
11;1;CHUQUISACA;10402;TOMINA                        ;106;0;14;120;0,446556159
12;1;CHUQUISACA;10403;SOPACHUY                      ;70;0;23;93;0,430591179
13;1;CHUQUISACA;10404;ALCALA                        ;42;0;2;44;0,401595537
14;1;CHUQUISACA;10405;EL VILLAR                     ;46;0;7;53;0,512509466
15;1;CHUQUISACA;10501;MONTEAGUDO                    ;366;215;7;588;0,825799991
16;1;CHUQUISACA;10502;HUACARETA                     ;106;0;15;121;0,488883672
17;1;CHUQUISACA;10601;TARABUCO                      ;147;40;76;263;0,527195391
18;1;CHUQUISACA;10602;YAMPARAEZ                     ;68;0;15;83;0,385807164
19;1;CHUQUISACA;10701;CAMARGO                       ;235;100;29;364;0,949240652
20;1;CHUQUISACA;10702;SAN LUCAS                     ;321;13;208;542;0,608241352
21;1;CHUQUISACA;10703;INCAHUASI                     ;72;0;103;175;0,439110492
22;1;CHUQUISACA;10704;VILLA CHARCAS                 ;164;1;111;276;0,915448684
23;1;CHUQUISACA;10801;VILLA SERRANO                 ;93;0;29;122;0,411439998
24;1;CHUQUISACA;10901;CAMATAQUI (C. VILLA ABECIA)   ;33;0;4;37;0,44674575
25;1;CHUQUISACA;10902;CULPINA                       ;169;0;87;256;0,576236475
26;1;CHUQUISACA;10903;LAS CARRERAS                  ;42;0;5;47;0,495915563
27;1;CHUQUISACA;11001;VILLA VACA GUZMAN (MUYUPAMPA) ;72;0;30;102;0,346996494
28;1;CHUQUISACA;11002;HUACAYA (VILLA DE HUACAYA)    ;38;0;21;59;0,89433983
29;1;CHUQUISACA;11003;MACHARETI                     ;60;0;6;66;0,28201927
30;2;LA PAZ ;20101;LA PAZ                        ;11888;8669;9;20566;0,838138533
31;2;LA PAZ ;20102;PALCA                         ;65;0;65;130;0,305349882
32;2;LA PAZ ;20103;MECAPACA                      ;31;0;43;74;0,20422054
33;2;LA PAZ ;20104;ACHOCALLA                     ;67;0;54;121;0,26169113
34;2;LA PAZ ;20105;EL ALTO                       ;11969;3541;97;15607;0,566533581
35;2;LA PAZ ;20201;ACHACACHI                     ;305;33;159;497;0,414754732
36;2;LA PAZ ;20202;ANCORAIMES                    ;36;0;127;163;0,546980724
37;2;LA PAZ ;20203;CHUA COCANI                   ;0;0;38;38;0,320098487
38;2;LA PAZ ;20204;HUARINA                       ;22;0;24;46;0,235652167
39;2;LA PAZ ;20205;SANTIAGO DE HUATA             ;22;0;58;80;0,476784931
40;2;LA PAZ ;20206;HUATAJATA                     ;14;0;5;19;0,19987545
41;2;LA PAZ ;20301;CORO CORO                     ;24;0;73;97;0,416265925
42;2;LA PAZ ;20302;CAQUIAVIRI                    ;22;0;83;105;0,420960538
43;2;LA PAZ ;20303;CALACOTO                      ;6;0;41;47;0,253026697
44;2;LA PAZ ;20304;COMANCHE                      ;2;0;25;27;0,389356451
45;2;LA PAZ ;20305;CHARAÑA                       ;2;0;13;15;0,269910251
46;2;LA PAZ ;20306;WALDO BALLIVIAN               ;1;0;26;27;0,757763296
47;2;LA PAZ ;20307;NAZACARA DE PACAJES           ;2;0;8;10;1,122580317
48;2;LA PAZ ;20308;SANTIAGO DE CALLAPA           ;19;0;29;48;0,308918519
49;2;LA PAZ ;20401;PUERTO ACOSTA                 ;34;0;94;128;0,408020183
50;2;LA PAZ ;20402;MOCOMOCO                      ;23;0;132;155;0,562627148
51;2;LA PAZ ;20403;PUERTO CARABUCO               ;27;0;124;151;0,438421764
52;2;LA PAZ ;20404;HUMANATA                      ;10;0;54;64;0,553741677
53;2;LA PAZ ;20405;ESCOMA                        ;63;13;17;93;0,709617779
54;2;LA PAZ ;20501;CHUMA                         ;29;0;77;106;0,314607259
55;2;LA PAZ ;20502;AYATA                         ;20;0;95;115;0,464536209
56;2;LA PAZ ;20503;AUCAPATA                      ;1;0;64;65;0,863737425
57;2;LA PAZ ;20601;SORATA                        ;96;0;72;168;0,356994925
58;2;LA PAZ ;20602;GUANAY                        ;154;0;45;199;0,834947786
59;2;LA PAZ ;20603;TACACOMA                      ;64;0;14;78;0,660567984
60;2;LA PAZ ;20604;QUIABAYA                      ;36;0;4;40;0,688657419
61;2;LA PAZ ;20605;COMBAYA                       ;5;0;30;35;0,662386255
62;2;LA PAZ ;20606;TIPUANI                       ;145;0;0;145;1,133995825
63;2;LA PAZ ;20607;MAPIRI                        ;257;0;9;266;1,335611888
64;2;LA PAZ ;20608;TEOPONTE                      ;139;0;39;178;1,211076831
65;2;LA PAZ ;20701;APOLO                         ;160;0;73;233;0,890903633
66;2;LA PAZ ;20702;PELECHUCO                     ;17;0;62;79;0,790792982
67;2;LA PAZ ;20801;VIACHA                        ;553;55;67;675;0,565418117
68;2;LA PAZ ;20802;GUAQUI                        ;38;0;47;85;0,402472035
69;2;LA PAZ ;20803;TIAWANACU                     ;108;0;80;188;0,587827698
70;2;LA PAZ ;20804;DESAGUADERO                   ;65;0;23;88;0,69023779
71;2;LA PAZ ;20805;SAN ANDRES DE MACHACA         ;3;0;36;39;0,24166156
72;2;LA PAZ ;20806;JESUS DE MACHACA              ;107;0;81;188;0,553930011
73;2;LA PAZ ;20807;TARACO                        ;20;0;13;33;0,19704342
74;2;LA PAZ ;20901;LURIBAY                       ;18;0;65;83;0,445363976
75;2;LA PAZ ;20902;SAPAHAQUI                     ;36;0;44;80;0,234165906
76;2;LA PAZ ;20903;YACO                          ;40;1;58;99;0,517478204
77;2;LA PAZ ;20904;MALLA                         ;2;0;34;36;0,315014245
78;2;LA PAZ ;20905;CAIROMA                       ;89;0;57;146;0,538607835
79;2;LA PAZ ;21001;INQUISIVI                     ;21;0;71;92;0,263768569
80;2;LA PAZ ;21002;QUIME                         ;66;3;35;104;0,728377266
81;2;LA PAZ ;21003;CAJUATA                       ;123;0;11;134;0,990985713
82;2;LA PAZ ;21004;COLQUIRI                      ;118;0;137;255;0,622415003
83;2;LA PAZ ;21005;ICHOCA                        ;3;0;44;47;0,327084088
84;2;LA PAZ ;21006;LICOMA PAMPA                  ;17;0;6;23;0,360912045
85;2;LA PAZ ;21101;CHULUMANI (V. DE LA LIBERTAD) ;261;85;18;364;1,030784669
86;2;LA PAZ ;21102;IRUPANA (VILLA DE LANZA)      ;128;0;57;185;0,788268027
87;2;LA PAZ ;21103;YANACACHI                     ;34;0;7;41;0,46687085
88;2;LA PAZ ;21104;PALOS BLANCOS                 ;364;0;102;466;1,051912674
89;2;LA PAZ ;21105;LA ASUNTA                     ;582;0;137;719;1,288744339
90;2;LA PAZ ;21201;PUCARANI                      ;144;0;209;353;0,525827357
91;2;LA PAZ ;21202;LAJA                          ;93;0;94;187;0,48790386
92;2;LA PAZ ;21203;BATALLAS                      ;69;1;80;150;0,342367603
93;2;LA PAZ ;21204;PUERTO PEREZ                  ;6;0;80;86;0,501483819
94;2;LA PAZ ;21301;SICA SICA (VILLA AROMA)       ;135;0;113;248;0,341754709
95;2;LA PAZ ;21302;UMALA                         ;32;0;81;113;0,442262382
96;2;LA PAZ ;21303;AYO AYO                       ;33;0;54;87;0,551579609
97;2;LA PAZ ;21304;CALAMARCA                     ;95;0;83;178;0,582331454
98;2;LA PAZ ;21305;PATACAMAYA                    ;355;23;65;443;0,84000262
99;2;LA PAZ ;21306;COLQUENCHA                    ;62;0;56;118;0,520153656
100;2;LA PAZ ;21307;COLLANA                       ;10;0;17;27;0,307531523
101;2;LA PAZ ;21401;COROICO                       ;266;104;15;385;1,253342984
102;2;LA PAZ ;21402;CORIPATA                      ;117;0;30;147;0,493049696
103;2;LA PAZ ;21501;IXIAMAS                       ;97;0;38;135;0,843897863
104;2;LA PAZ ;21502;SAN BUENA VENTURA             ;151;11;23;185;1,185565326
105;2;LA PAZ ;21601;GRAL. J.J. PEREZ  (CHARAZANI) ;29;0;87;116;0,601531973
106;2;LA PAZ ;21602;CURVA                         ;1;0;30;31;0,535195871
107;2;LA PAZ ;21701;COPACABANA                    ;98;0;32;130;0,399101606
108;2;LA PAZ ;21702;SAN PEDRO DE TIQUINA          ;28;0;27;55;0,442782493
109;2;LA PAZ ;21703;TITO YUPANQUI (PARQUIPUJIO)   ;2;0;7;9;0,143611648
110;2;LA PAZ ;21801;SAN PEDRO DE CURAHUARA        ;15;0;57;72;0,350121984
111;2;LA PAZ ;21802;PAPEL PAMPA                   ;39;0;37;76;0,550841761
112;2;LA PAZ ;21803;CHACARILLA                    ;4;0;9;13;0,389458655
113;2;LA PAZ ;21901;SANTIAGO DE MACHACA           ;20;0;25;45;0,4915879
114;2;LA PAZ ;21902;CATACORA                      ;2;0;11;13;0,229411873
115;2;LA PAZ ;22001;CARANAVI                      ;800;192;61;1053;0,939187227
116;2;LA PAZ ;22002;ALTO BENI                     ;106;0;17;123;0,583684647
117;3;COCHABAMBA;30101;COCHABAMBA                    ;9621;9767;7;19395;0,97510212
118;3;COCHABAMBA;30201;AIQUILE                       ;266;58;32;356;0,497902449
119;3;COCHABAMBA;30202;PASORAPA                      ;19;0;10;29;0,322444889
120;3;COCHABAMBA;30203;OMEREQUE                      ;48;0;22;70;0,462816967
121;3;COCHABAMBA;30301;AYOPAYA (V. DE INDEPENDENCIA) ;199;22;143;364;0,671175794
122;3;COCHABAMBA;30302;MOROCHATA                     ;68;0;77;145;0,324838857
123;3;COCHABAMBA;30303;COCAPATA                      ;88;0;128;216;0,428133647
124;3;COCHABAMBA;30401;TARATA                        ;100;0;10;110;0,50984919
125;3;COCHABAMBA;30402;ANZALDO                       ;47;0;37;84;0,418630051
126;3;COCHABAMBA;30403;ARBIETO                       ;154;0;51;205;0,79433326
127;3;COCHABAMBA;30404;SACABAMBA                     ;49;0;7;56;0,437327541
128;3;COCHABAMBA;30501;ARANI                         ;112;0;6;118;0,510650903
129;3;COCHABAMBA;30502;VACAS                         ;53;0;60;113;0,300147937
130;3;COCHABAMBA;30601;ARQUE                         ;56;0;136;192;0,598774876
131;3;COCHABAMBA;30602;TACOPAYA                      ;44;0;74;118;0,345648622
132;3;COCHABAMBA;30701;CAPINOTA                      ;208;0;30;238;0,55481774
133;3;COCHABAMBA;30702;SANTIVAÑES                    ;53;0;8;61;0,376458163
134;3;COCHABAMBA;30703;SICAYA                        ;16;0;25;41;0,997896627
135;3;COCHABAMBA;30801;CLIZA                         ;253;151;7;411;0,732936579
136;3;COCHABAMBA;30802;TOCO                          ;42;0;6;48;0,299765079
137;3;COCHABAMBA;30803;TOLATA                        ;45;0;2;47;0,256940123
138;3;COCHABAMBA;30901;QUILLACOLLO                   ;1468;681;91;2240;0,548760075
139;3;COCHABAMBA;30902;SIPE SIPE                     ;483;0;25;508;0,406125915
140;3;COCHABAMBA;30903;TIQUIPAYA                     ;799;254;52;1105;0,4099607
141;3;COCHABAMBA;30904;VINTO                         ;693;145;28;866;0,680675576
142;3;COCHABAMBA;30905;COLCAPIRHUA                   ;341;117;0;458;0,21800141
143;3;COCHABAMBA;31001;SACABA                        ;1791;468;68;2327;0,451443495
144;3;COCHABAMBA;31002;COLOMI                        ;229;0;18;247;0,496000702
145;3;COCHABAMBA;31003;VILLA TUNARI                  ;1238;585;100;1923;1,457132759
146;3;COCHABAMBA;31101;TAPACARI                      ;46;0;284;330;0,422897819
147;3;COCHABAMBA;31201;TOTORA(CBBA)                  ;251;27;6;284;1,051884894
148;3;COCHABAMBA;31202;POJO (CBBA)                   ;164;0;6;170;0,344729058
149;3;COCHABAMBA;31203;POCONA                        ;142;0;17;159;0,47735524
150;3;COCHABAMBA;31204;CHIMORE                       ;150;0;35;185;0,349441718
151;3;COCHABAMBA;31205;PUERTO VILLARROEL             ;1059;281;64;1404;1,100829182
152;3;COCHABAMBA;31206;ENTRE RIOS CBBA               ;319;0;19;338;0,355722249
153;3;COCHABAMBA;31301;MIZQUE                        ;332;31;79;442;0,558685021
154;3;COCHABAMBA;31302;VILA VILA                     ;36;0;40;76;0,682101692
155;3;COCHABAMBA;31303;ALALAY                        ;13;0;16;29;0,206105811
156;3;COCHABAMBA;31401;PUNATA                        ;490;390;2;882;1,365897394
157;3;COCHABAMBA;31402;VILLA RIVERO                  ;63;0;15;78;0,524010249
158;3;COCHABAMBA;31403;SAN BENITO                    ;55;0;10;65;0,193612514
159;3;COCHABAMBA;31404;TACACHI                       ;4;0;3;7;0,083988256
160;3;COCHABAMBA;31405;CUCHUMUELA (V. G. VILLARROEL) ;12;0;3;15;0,328289884
161;3;COCHABAMBA;31501;BOLIVAR                       ;15;0;93;108;0,443678431
162;3;COCHABAMBA;31601;TIRAQUE (CBBA)                ;232;0;37;269;0,50740325
163;3;COCHABAMBA;31602;SHINAOTA                      ;373;62;9;444;1,156331293
164;4;ORURO ;40101;ORURO                         ;4223;3793;73;8089;1,355254345
165;4;ORURO ;40102;CARACOLLO                     ;175;12;54;241;0,356446284
166;4;ORURO ;40103;EL CHORO                      ;29;0;32;61;0,209823659
167;4;ORURO ;40104;SORACACHI                     ;37;0;54;91;0,219789024
168;4;ORURO ;40201;CHALLAPATA                    ;464;87;159;710;1,263651791
169;4;ORURO ;40202;SANTUARIO DE QUILLACAS        ;17;0;31;48;0,535805028
170;4;ORURO ;40301;CORQUE                        ;23;1;47;71;0,352748528
171;4;ORURO ;40302;CHOQUE COTA                   ;1;0;8;9;0,231246967
172;4;ORURO ;40401;CURAHUARA DE CARANGAS         ;58;0;6;64;0,48184849
173;4;ORURO ;40402;TURCO                         ;15;0;17;32;0,41268621
174;4;ORURO ;40501;HUACHACALLA                   ;8;0;2;10;0,206754371
175;4;ORURO ;40502;ESCARA                        ;1;0;1;2;0,061095258
176;4;ORURO ;40503;CRUZ DE MACHACAMARCA;0;0;0;0;0
177;4;ORURO ;40504;YUNGUYO DE LITORAL;0;0;0;0;0
178;4;ORURO ;40505;ESMERALDA                     ;0;0;2;2;0,044369677
179;4;ORURO ;40601;POOPO                         ;40;0;7;47;0,348164995
180;4;ORURO ;40602;PAZÑA                         ;41;0;21;62;0,78453948
181;4;ORURO ;40603;ANTEQUERA                     ;15;0;5;20;0,321369066
182;4;ORURO ;40701;HUANUNI                       ;232;134;14;380;0,890659621
183;4;ORURO ;40702;MACHACAMARCA                  ;34;0;1;35;0,452568317
184;4;ORURO ;40801;SALINAS DE GARCI MENDOZA      ;106;0;51;157;0,63481078
185;4;ORURO ;40802;PAMPA AULLAGAS                ;17;0;31;48;0,482427854
186;4;ORURO ;40901;SABAYA                        ;17;0;15;32;0,141023559
187;4;ORURO ;40902;COIPASA                       ;15;0;0;15;0,70989867
188;4;ORURO ;40903;CHIPAYA                       ;16;0;22;38;0,632919555
189;4;ORURO ;41001;TOLEDO                        ;36;0;24;60;0,250831356
190;4;ORURO ;41101;EUCALIPTUS                    ;43;0;18;61;0,483680094
191;4;ORURO ;41201;ANDAMARCA                     ;7;0;27;34;0,275078391
192;4;ORURO ;41202;BELEN DE ANDAMARCA            ;9;0;10;19;0,480924667
193;4;ORURO ;41301;TOTORA(ORR)                   ;27;0;35;62;0,602260164
194;4;ORURO ;41401;SANTIAGO DE HUARI             ;74;0;27;101;0,454318586
195;4;ORURO ;41501;LA RIVERA                     ;1;0;1;2;0,156230007
196;4;ORURO ;41502;TODOS SANTOS                  ;2;0;0;2;0,216734318
