id;cod_dep;departamento;cod_mun;municipio;vaginales;cesareas;partos_atendidos_personal_salud;tot_gral;cobertura
1;1;CHUQUISACA;10101;SUCRE;4024;2552;58;6634;0,653496938
2;1;CHUQUISACA;10102;YOTALA;103;5;8;116;0,351103512
3;1;CHUQUISACA;10103;POROMA;109;;138;247;0,398751597
4;1;CHUQUISACA;10201;AZURDUY;72;2;106;180;0,619160543
5;1;CHUQUISACA;10202;TARVITA;168;13;68;249;0,57857151
6;1;CHUQUISACA;10301;ZUDAÑEZ;94;2;24;120;0,631893752
7;1;CHUQUISACA;10302;PRESTO;37;;120;157;0,609924981
8;1;CHUQUISACA;10303;MOJOCOYA;73;;35;108;0,557717419
9;1;CHUQUISACA;10304;ICLA;80;;69;149;0,56070208
10;1;CHUQUISACA;10401;PADILLA;155;85;9;249;0,822801907
11;1;CHUQUISACA;10402;TOMINA;124;;24;148;0,550752596
12;1;CHUQUISACA;10403;SOPACHUY;91;9;31;131;0,60653166
13;1;CHUQUISACA;10404;ALCALA;42;;3;45;0,410722709
14;1;CHUQUISACA;10405;EL VILLAR;38;;;38;0,367459617
15;1;CHUQUISACA;10501;MONTEAGUDO;373;214;22;609;0,855292848
16;1;CHUQUISACA;10502;HUACARETA;104;;14;118;0,47676259
17;1;CHUQUISACA;10601;TARABUCO;181;38;114;333;0,667513556
18;1;CHUQUISACA;10602;YAMPARAEZ;72;;23;95;0,441586513
19;1;CHUQUISACA;10701;CAMARGO;208;124;22;354;0,923162612
20;1;CHUQUISACA;10702;SAN LUCAS;326;19;335;680;0,763107231
21;1;CHUQUISACA;10703;INCAHUASI;104;;114;218;0,547006213
22;1;CHUQUISACA;10704;VILLA CHARCAS;159;;122;281;0,9320329
23;1;CHUQUISACA;10801;VILLA SERRANO;110;;33;143;0,482261637
24;1;CHUQUISACA;10901;CAMATAQUI (C. VILLA ABECIA);32;;6;38;0,458819959
25;1;CHUQUISACA;10902;CULPINA;187;32;113;332;0,747306678
26;1;CHUQUISACA;10903;LAS CARRERAS;49;;10;59;0,622532302
27;1;CHUQUISACA;11001;VILLA VACA GUZMAN (MUYUPAMPA);123;;42;165;0,561317858
28;1;CHUQUISACA;11002;HUACAYA (VILLA DE HUACAYA);31;;18;49;0,742756808
