,departamento,municipio,establecimiento,direccion
100,POTOSI,CHAQUI,CHIUTALUYO,CHIUTALUYO CHAQUI POTOSI
101,POTOSI,CHAQUI,COIPASI,Av. del maestro y calle montoya
102,POTOSI,CHAQUI,DON DIEGO,Don Diego  frente al colegio
104,POTOSI,CHAQUI,EL PALOMAR,PAMPA WASI-COMUNIDAD EL PALOMAR.
105,POTOSI,CHAQUI,SILAPI,frente a la escuela nueva
106,POTOSI,CHAYANTA,AMAYAPAMPA,CALLE SANTA CRUZ
107,POTOSI,CHAYANTA,AYMAYA,AYMAYA
108,POTOSI,CHAYANTA,CHAYANTA CALA CALA,Sin registro
109,POTOSI,CHAYANTA,COATACA,COATACA
110,POTOSI,CHAYANTA,ENTRE RIOS (CHAYANTA),ENTRE RIOS
111,POTOSI,CHAYANTA,IRUPATA,Irupata
112,POTOSI,CHAYANTA,KEWAYLLUNI,kewaylluni
113,POTOSI,CHAYANTA,PANACACHI,PANACAHI
114,POTOSI,CHAYANTA,QUINTA PAMPA,QUINTAPAMPA
115,POTOSI,CHAYANTA,SAN FRANCISCO DE KOPANA,COPANA
116,POTOSI,CHAYANTA,SAN JUAN DE DIOS CHAYANTA,Sin registro
117,POTOSI,CHUQUIHUTA AYLLU JUCUMANI,ARANIPAMPA,Sin registro
118,POTOSI,CHUQUIHUTA AYLLU JUCUMANI,MIKANI,Sin registro
119,POTOSI,CHUQUIHUTA AYLLU JUCUMANI,SANTA MARIA DE CHUQUIUTA,Sin registro
120,POTOSI,CHUQUIHUTA AYLLU JUCUMANI,TACOPALCA,Sin registro
121,POTOSI,CKOCHAS,AUCAPAMPA,aucapampa
122,POTOSI,CKOCHAS,CALAPAYA,Calapaya
123,POTOSI,CKOCHAS,CARPA HUATA,CARPA HUATA
124,POTOSI,CKOCHAS,CHECCHI,CHECCHI
125,POTOSI,CKOCHAS,CKOCHAS,ckochas
126,POTOSI,CKOCHAS,HUARA HUARA,HUARA HAUARA
127,POTOSI,CKOCHAS,HUAYLLAJARA,huayllajara
128,POTOSI,CKOCHAS,KELUYO,KELUYO
129,POTOSI,CKOCHAS,LAJAS,LAJAS
130,POTOSI,CKOCHAS,MEDIA LUNA,MEDIA LUNA
