                                   ESTABLECIMIENTOS DE SALUD DE 1ER NIVEL SANTA CRUZ,,,
,,,
SANTA CRUZ,CHARAGUA,DR. ROBERTO UGARTE,ESTACION CHARAGUA
SANTA CRUZ,CHARAGUA,EL ESPINO,EL ESPINO
SANTA CRUZ,CHARAGUA,ISIPORENDA,ISIPORENDA
DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN
SANTA CRUZ,CHARAGUA,ITATIQUI,ITATIQUI
SANTA CRUZ,CHARAGUA,ITAYU,ITAYU
SANTA CRUZ,CHARAGUA,JOSE IYAMBAE,JOSE IYAMBAE
SANTA CRUZ,CHARAGUA,KAPIGUAZUTI,KAPIGUAZUTI
SANTA CRUZ,CHARAGUA,MAMERTO EGUEZ SORUCO,CHARAGUA
SANTA CRUZ,CHARAGUA,MASAVI,MASAVI
SANTA CRUZ,CHARAGUA,P.S. AGUARATY,P.S. AGUARATY
SANTA CRUZ,CHARAGUA,RANCHO NUEVO,RANCHO NUEVO
SANTA CRUZ,CHARAGUA,SAN ANTONIO,SAN ANTONIO DEL PARAPETI
SANTA CRUZ,CHARAGUA,SAN LORENZO,SAN LORENZO
SANTA CRUZ,CHARAGUA,TAPUTA,TAPUTA
SANTA CRUZ,CHARAGUA,TARENDA,FRENTE DE LA IGLESIA
SANTA CRUZ,CHARAGUA,YAPIROA,YAPIROA
SANTA CRUZ,CHARAGUA,YOVI,IYOVI
SANTA CRUZ,COLPA BELGICA,EL CEDRO,comunidad el cedro
SANTA CRUZ,COLPA BELGICA,SAN SILVESTRE,Barrio Largo Colpa
SANTA CRUZ,COMARAPA,PULQUINA,CALLE SANTA CRUZ S/N
,,,COMUNIDAD PULQUINA ARRIBA FRENTE A DOMICILIO DE
SANTA CRUZ,COMARAPA,PULQUINA ARRIBA,SEMIDO CABELLO
SANTA CRUZ,COMARAPA,SAN ISIDRO,SAN ISIDRO (CARRETERA A JAGUE)
,,,
SANTA CRUZ,COMARAPA,SAN JUAN DEL POTRERO,"PLAZA PRINCIPAL, LOCALIDAD SAN JUAN DEL POTRERO"
SANTA CRUZ,COMARAPA,SAN MARTIN DE PORRES,AV. SAN MARTIN
SANTA CRUZ,COMARAPA,SAN MATEO,CARRETERA SAN MATEO
,,,
SANTA CRUZ,COMARAPA,SIBERIA,COMUNIDAD SIBERIA CAMINO ANTIGUO A COCHABAMBA
SANTA CRUZ,COMARAPA,TORRECILLAS,TORRECILLAS
SANTA CRUZ,CONCEPCION,CANDELARIA,candelaria
SANTA CRUZ,CONCEPCION,CESAR BANZER,CALLE SIRINGA ESQ. ÑUFLO DE CHAVEZ
SANTA CRUZ,CONCEPCION,DISTRITO 5 EL PALMAR,FRENTE A LA PLAZA PRINCIPAL DE LA COMUNIDAD
,,,COMUNIDAD EL CARMEN/ FRENTE AL COLEGIO HUGO
SANTA CRUZ,CONCEPCION,EL CARMEN,PROQUIO
DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN
SANTA CRUZ,CONCEPCION,MAKANATE,ZONA MONTE VERDE
,,,
SANTA CRUZ,CONCEPCION,PALMARITO,FRENTE A LA PLAZA PRINCIPAL DIAGONAL DE LA CAPILLA
SANTA CRUZ,CONCEPCION,SAN PEDRO,A UNA CUADRA DE LA PLAZA PRINCIPAL CALLE S/N.
SANTA CRUZ,COTOCA,BISITO,COMUNIDAD EL BISITO
SANTA CRUZ,COTOCA,CAMPANERO,calle#4
,,CENTRO DE REHABILITACION Y,
,,HABILITACION BIOPSICOSOCIAL DE,
SANTA CRUZ,COTOCA,COTOCA,Sin registro
SANTA CRUZ,COTOCA,DON CHICHI,urbanizacion don chichi calle 16
SANTA CRUZ,COTOCA,DON LORENZO,Comunidad Don Lorenzo 15Km al Sur Este de Cotoca
SANTA CRUZ,COTOCA,ENCONADA,Urbanización Doña Irma S/N
,,,
SANTA CRUZ,COTOCA,LOS TAJIBOS - COTOCA,Se encuentra al Este 9.1/2 km  del municipio de Cotoca
,,,
SANTA CRUZ,COTOCA,MAPAIZO,COMUNIDAD MAPAIZO AL FRENTE DE LA SUBALCALDIA
SANTA CRUZ,COTOCA,PUERTO PAILAS,Puerto Pailas Avenida Principal- Zona Central
,,,comunidad Tarope av. a bisito delante del colegio 6 de
SANTA CRUZ,COTOCA,TAROPE,agosto
SANTA CRUZ,CUATRO CAÑADAS,4 CAÑADAS,Av. Bolivar Barrio San Antonio
SANTA CRUZ,CUATRO CAÑADAS,NUEVA ESPERANZA,B/NUEVA ESPERANZA
SANTA CRUZ,CUATRO CAÑADAS,SAN MIGUEL DE LA FLORIDA,Carretera Santa Cruz Trinidad a 72 Km de Santa Cruz
SANTA CRUZ,CUEVO,EL ARENAL,A 7 Km. de Cuevo al Norte
SANTA CRUZ,CUEVO,HUARACA,De  Cuevo a 83 Km. Asia Noreste
SANTA CRUZ,CUEVO,IVICUATI,Ruta 9 Camiri - Yacuiba a 45Km.
,,,RUTA 9 CARRETERA CAMIRI - YACUIBA   (25 KM. DE CAMIRI
SANTA CRUZ,CUEVO,SALINAS,AL SUR)
SANTA CRUZ,CUEVO,SAN JUAN BAUTISTA,C./ Pasaje Reyelo Entre C./ Comercio y Sucre
SANTA CRUZ,CUEVO,TARATAGALITO,Carretera a camiri 10km. de cuevo
SANTA CRUZ,EL PUENTE(STC),EL PUENTE,BARRIOS 24 DE SEPTIEMBRE
,,,COMUNIDAD 10 DE NOVIEMBRE NUCLEO 47 B/ LOS
SANTA CRUZ,EL PUENTE(STC),NUCLEO 47 - 10 NOV.,ANGELES
DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN
SANTA CRUZ,EL PUENTE(STC),NUCLEO 50,NUCLEO 50
SANTA CRUZ,EL PUENTE(STC),NUCLEO 53,ZONA EL MERCADO
SANTA CRUZ,EL PUENTE(STC),SURUCUSI,ALADO DEL PARQUE INFANTIL DE SURUCUSI
SANTA CRUZ,EL PUENTE(STC),YOTAU,YOTAU B/SAN FRANCISCO
SANTA CRUZ,EL TORNO,ANGOSTURA,Carretera antigua a Cochabamba km 60
SANTA CRUZ,EL TORNO,CANADA II,DISTRITO III MUNICIPIO EL TORNO
SANTA CRUZ,EL TORNO,DERMATOLOGICO,KM 43 CARRETERA ANTIGUA COCHABAMBA
SANTA CRUZ,EL TORNO,EL SALAO,TARUMA KM 53 COMUNIDAD EL SALAO
SANTA CRUZ,EL TORNO,FORESTAL,EL TORNO - FORESTAL
SANTA CRUZ,EL TORNO,JOROCHITO,KM. 42 CARRETERA ANTIGUA COCHABAMBA
SANTA CRUZ,EL TORNO,JUNTA PIRAY,el torno distrito 6 comunidad junta pirai
SANTA CRUZ,EL TORNO,LA SAGRADA FAMILIA,COMUNIDAD NATIVIDAD
SANTA CRUZ,EL TORNO,LIMONCITO,Km 37 Carretera antigua a Cbba
SANTA CRUZ,EL TORNO,MONTE VERDE,EL TORNO COMUNIDAD MONTE VERDE
,,,
SANTA CRUZ,EL TORNO,NUEVA ESPERANZA,EL TORNO SANTA RITA - COMUNIDAD NUEVA ESPERANZA
SANTA CRUZ,EL TORNO,SAN LUIS,EL TORNO SAN LUIS KM. 55 CARRETERA ANT A CBBA
SANTA CRUZ,EL TORNO,SANTA MARTHA,KM 27 CARRETERA ANTIGUA COCHABAMBA
SANTA CRUZ,EL TORNO,SANTA RITA,EL TORNO SANTA RITA
SANTA CRUZ,EL TORNO,TARUMA,TARUMA KM 53 CARRETERA ANT. COCHABAMBA
SANTA CRUZ,EL TORNO,VILLA TUMAVI,el torno comunidad de villa tumavi
SANTA CRUZ,FERNANDEZ ALONSO,3 DE MAYO,B/ 12 DE OCTUBRE AVENIDA SAN PEDRO
SANTA CRUZ,FERNANDEZ ALONSO,AGUAHIS,CALLE LA ASUNTA
SANTA CRUZ,FERNANDEZ ALONSO,CHANE,"BARRIO VILLA BARRIENTOS  S/N, UV-3 M-5"
SANTA CRUZ,FERNANDEZ ALONSO,VIRGEN DE FATIMA,CALLE SANTA CRUZ / BARRIO FLORIDA
SANTA CRUZ,GENERAL SAAVEDRA,12 DE OCTUBRE,COMUNIDAD 12 DE OCTUBRE
SANTA CRUZ,GENERAL SAAVEDRA,ABELARDO SUAREZ,GENERAL SAAVEDRA C/ SANTIAGO COURNEEN S/N
,,,AL FRENTE DE PLAZA PRINCIPAL DE LA COMUNIDAD
SANTA CRUZ,GENERAL SAAVEDRA,AROMA,AROMA II
SANTA CRUZ,GENERAL SAAVEDRA,CHANE BEDOYA,COMUNIDAD CHANE BEDOYA
SANTA CRUZ,GENERAL SAAVEDRA,CRUZ SOLETO,CALLE SANTA CRUZ
SANTA CRUZ,GENERAL SAAVEDRA,PICO DE MONTE,LADO DEL TANQUE DE AGUA
DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN
,,,LADO DE LA CANCHA DE FUTBOL CAMINO A PUENTE
SANTA CRUZ,GENERAL SAAVEDRA,POZA CAIMANES,CAIMANES
,,,
SANTA CRUZ,GENERAL SAAVEDRA,PUENTE CAIMANES,MUNICIPIO SAAVEDRA-COMUNIDAD PUENTE CAIMANES
