,ESTABLECIMIENTOS DE SALUD DE 1ER NIVEL ORURO,,,,,
DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCIÓN,,,
ORURO,ANDAMARCA,AVAROA,av. chullunquiani s/n,,,
ORURO,ANDAMARCA,CALAVILLCA,calavillca,,,
ORURO,ANDAMARCA,LLOCO,LLOCO,,,
ORURO,ANDAMARCA,ORINOCA,FINAL ANTOFAGASTA,,,
ORURO,ANDAMARCA,ROSAPATA,ROSAPATA,,,
ORURO,ANDAMARCA,ROSARIO,ROSAPATA,,,
ORURO,ANDAMARCA,SANTIAGO DE ANDAMARCA,AV. DEL ESTUDIANTE S/N ESQUINA BALLIVIAN,,,
ORURO,ANTEQUERA,ANTEQUERA,CALLEJON Nº 3 RIO ANTEQUERA,,,
ORURO,ANTEQUERA,CHALLHUAMAYU,,,,
,,,Calle sin Nombre Comunidad Tutuni Municipio,,,
ORURO,ANTEQUERA,TUTUNI,Antequera Provincia Poopo,,,
ORURO,BELEN DE ANDAMARCA,BELEN DE ANDAMARCA,MUNICIPIO BELÉN DE ANDAMARCA,,,
ORURO,BELEN DE ANDAMARCA,CALAMA,calama,,,
ORURO,BELEN DE ANDAMARCA,CRUZ DE HUAYLLAMARCA,CRUZ DE HUAYLLAMARCA,,,
ORURO,BELEN DE ANDAMARCA,REAL MACHACAMARCA,Real Machacamarca,,,
ORURO,CARACOLLO,CAÑOHUMA,Central Cañohuma,,,
ORURO,CARACOLLO,HUERTA PAMPA,Huertapampa,,,
ORURO,CARACOLLO,HUNTUTA,HUNTUTA,,,
ORURO,CARACOLLO,LA JOYA,Calle Bolivar,entre Santa Barbara y Santa Cruz,,
ORURO,CARACOLLO,LAJMA,CALLE LA PAZ,,,
ORURO,CARACOLLO,MARKA NUEVA LLALLAGUA,Marka nueva llallagua,,,
,,,carretera,oruro cochabamba,a 37 km,de distancia
ORURO,CARACOLLO,OCOTAVI,a la ciudad de oruro,,,
ORURO,CARACOLLO,SILLOTA BELEN,sillota belen,,,
ORURO,CARACOLLO,SILLOTA VITO,zona este,,,
ORURO,CARACOLLO,VENTILLA PONGO,Ventilla Pongo,,,
ORURO,CARACOLLO,VILA VILA,VILA VILA,,,
ORURO,CARANGAS,CARANGAS,A MEDIA CUADRA DE LA PLAZA,,,
ORURO,CHALLAPATA,ANCACATO,,,,
DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,,DIRECCIÓN,,
ORURO,CHALLAPATA,ANTACOLLO,Antacollo,,,
ORURO,CHALLAPATA,C.S.A. 1º DE MAYO,TOMAS FRIAS ESQUINA LITORAL,,,
ORURO,CHALLAPATA,CACACHACA,QAQACHACA,,,
ORURO,CHALLAPATA,CRUCE CULTA,AVENIDA POTOSI,,,
ORURO,CHALLAPATA,CULTA ANTIGUA,Lado U.E. Gualberto Villarroel,,,
ORURO,CHALLAPATA,HUANCANE,huancane,,,
ORURO,CHALLAPATA,HUANCARANI,HUANCARANI,,,
ORURO,CHALLAPATA,HUCHUSUMA,huchusuma,,,
,,,Calle sin nombre comunidad de Livichuco frente a la,,,
ORURO,CHALLAPATA,LIVICHUCO,cancha Livichuco,,,
ORURO,CHALLAPATA,NORTE CONDO,catavicollo,,,
ORURO,CHALLAPATA,PARCO,DISTRITO MARKA QAQACHACA,,,
ORURO,CHALLAPATA,SUMAJ CAUSAYPAJ,HÉROES DEL ACRE ENTRE RENGEL Y BALDIVIEZO,,,
ORURO,CHALLAPATA,THOLAPALCA,P.S. Tolpalca,,,
ORURO,CHIPAYA,AYPARAVI,AYPARAVI,,,
ORURO,CHIPAYA,CHIPAYA,calle 6 de agosto,,,
ORURO,CHOQUE COTA,CHOQUECOTA,CHOQUECOTA,,,
ORURO,COIPASA,COIPASA,calle comercio entre franz tamayo,,,
ORURO,CORQUE,CATAZA ANCARAVI,Ancaravi,,,
,,HOSPITAL SAN JUAN BAUTISTA,avenida Oruro s/n,entre calles pelaez general,,
ORURO,CORQUE,CORQUE,Pacotani,,,
ORURO,CORQUE,HUAYLLAPACHA,huayllapacha,,,
ORURO,CORQUE,HUMAMARCA,humamarca,,,
,,,AV. CRUCE SAN ANTONIO N° SIN NUMERO A TRES,,,
,,,CUADRAS DE LA CARRETERA INTERNACIONAL DE,,,
ORURO,CORQUE,OPOQUERI,CHILE,,,
ORURO,CORQUE,POMATA,pomata,,,
ORURO,CORQUE,SAN ANTONIO (ORU),municipio de corque,,,
ORURO,CORQUE,SAN JOSE DE KALA,SAN JOSE DE KALA,,,
ORURO,CORQUE,SAN PEDRO DE HUAYLLOCO,huaylloco,,,
ORURO,CORQUE,TARUCACHI,plaza,,,
ORURO,CORQUE,VILLA COPACABANA,villacopacabana,,,
ORURO,CORQUE,VILLA ESPERANZA,villa esperanza,,,
DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,,DIRECCIÓN,,
ORURO,CRUZ DE MACHACAMARCA,CRUZ DE MACHACAMARCA,CRUZ DE MACHACAMARCA,,,
ORURO,CURAHUARA DE CARANGAS,CULTA II,culta,,,
ORURO,CURAHUARA DE CARANGAS,CURAHUARA DE CARANGAS,23 de marzo,s/n Maximiliano Paredes,,
ORURO,CURAHUARA DE CARANGAS,LAGUNAS,CALLE "D" N° S/N ENTRE CALLE "2",,,
ORURO,CURAHUARA DE CARANGAS,SAJAMA,AV. PANAMERICANA,,,
ORURO,EL CHORO,CHAITAVI,SAN FELIPE DE CHAITAVI,,,
ORURO,EL CHORO,CRUCERO BELEN,CRUCERO BELEN,,,
,,EL CHORO VIRGEN DE LAS,,,,
ORURO,EL CHORO,NIEVES,PLAZA SIMON BOLIVAR,,,
ORURO,EL CHORO,RANCHO GRANDE,COMUNIDAD RANCHO GRANDE,,,
ORURO,EL CHORO,SAN PEDRO DE CHALLACOLLO,Calle Porvenir S/N,,,
ORURO,EL CHORO,SANTA MARIA,SANTA MARIA,,,
ORURO,ESCARA,ESCARA (ORU),PASAJE 1 Y AV. COMERCIO,,,
,,,10 de septiembre N°s/n entre calle Belén y Virgen,,,
ORURO,ESMERALDA,BELEN DE ESMERALDA,de Natividad,,,
ORURO,EUCALIPTUS,AMACHUMA,comunidad amachuma,,,
,,,CALLE EDUARDO AVAROA S/N ENTRE CAP.,,,
ORURO,EUCALIPTUS,EUCALIPTUS,MORALES ENTRE LA PAZ Y CAMACHO,,,
ORURO,EUCALIPTUS,QUELCATA,Quelcata,,,
ORURO,HUACHACALLA,HUACHACALLA,Occidente,,,
ORURO,HUANUNI,BARTOLINA SISA,CALLE CAMACHO S/N,,,
