                         ESTABLECIMIENTOS DE SALUD DE 1ER NIVEL DEL DEPARTAMENTO DE BENI,,,
,,,
BENI,MAGDALENA,OROBAYAYA,CALLE 18 DE NOVIEMBRE ESQUINA 27 DE MAYO
,,,
BENI,MAGDALENA,SAN BORJA,CALLE PRINCIPAL S/N
,,,
BENI,MAGDALENA,VERSALLES,ATRAZ DE LA PISTA DE ATERRIZAJE
,,,
BENI,PUERTO SILES,ALEJANDRIA,Zona central al lado de la del tanque de agua
,,,
BENI,PUERTO SILES,PUERTO SILES,Calle Jose Angulo S/N
,,,
BENI,PUERTO SILES,STA. ROSA DE VIGO,Calle principal
BENI,REYES,CALIFORNIA,CALIFORNIA
BENI,REYES,CARMEN ALTO DE HENESHUAYA,CARMEN ALTO DEL GENESHUAYA
BENI,REYES,PENA AMARILLA,Peña Amarilla
BENI,REYES,PUERTO CAVINAS,PUERTO CAVINAS
BENI,REYES,SAN JUAN DE DIOS,CALLE AMBROSIO GARCIA
BENI,RIBERALTA,12 DE OCTUBRE,CARRETERA RIBERALTA-GUAYARAMERIN KM 42
BENI,RIBERALTA,BELLA FLOR,CARRETERA RIBERALTA-SANTA ROSA KM 45
BENI,RIBERALTA,BUEN DESTINO,CARRETERA RIBERALTA A   KM
BENI,RIBERALTA,CANDELARIA,CARRETERA RIBERALTA-SANTA ROSA KM 37
,,,AVENIDA NICANOR GONZALO SALVATIERRA. BARRIO LA
BENI,RIBERALTA,CARCELETA PUBLICA RIBERALTA,CRUZ
BENI,RIBERALTA,CHACOBOS,CARRETERA RIBERALTA-SANTA ROSA KM 150
BENI,RIBERALTA,CONAVI,BARRIO CONAVI. AV. JUAN CARLOS MENINI
,,,
BENI,RIBERALTA,CONSUELO DEL ROSARIO,CARRETERA RIBERALTA-CACHUELA ESPERANZA KM 54
BENI,RIBERALTA,CRISTO REY,BARRIO PERIODISTA AV. JACARANDA
BENI,RIBERALTA,DR. CESAR MOSCOSO C.,CALLE: JUAN ALBERDI  Nº 138
BENI,RIBERALTA,EL CERRITO,BARRIO CERRITO. AVENIDA MADRE DE DIOS S/N
BENI,RIBERALTA,LA ESPERANZA,AV. LA PAZ. CARRETERA RIBERALTA-SANTA ROSA
BENI,RIBERALTA,LA UNIDAD,AV. MARA
BENI,RIBERALTA,LOS CAYUCES,CARRETERA RIBERALTA-SANTA ROSA KM 141
BENI,RIBERALTA,NAZARETH,CARRETERA RIBERALTA-SANTA ROSA KM 83
,,,AVENIDA 11 DE OCTUBRE Y CLAUSEN BARRIO PUEBLO
BENI,RIBERALTA,PUEBLO NUEVO,NUEVO
