,departamento,municipio,establecimiento,direccion
84,CHUQUISACA,ICLA,KOLLPAPAMPA,KOLLPAPAMPA
85,CHUQUISACA,ICLA,RODEO DE ICLA,COMUNIDAD RODEO DE ICLA
86,CHUQUISACA,ICLA,SAN JACINTO,SAN JACINTO
87,CHUQUISACA,ICLA,SUMALA,SUMALA
88,CHUQUISACA,ICLA,TACOPAMPA,thaco pampa
89,CHUQUISACA,ICLA,UYUNI (CHQ),ZONA CENTRAL COMUNIDAD UYUNI
90,CHUQUISACA,ICLA,VIRGEN DEL ROSARIO,JUANA AZURDUY DE PADILLA S/N
91,CHUQUISACA,INCAHUASI,CHILLAJARA,CHILLAJARA
93,CHUQUISACA,INCAHUASI,EL PORTILLO,"PORTILLO, INCAHUASI, NOR-CINTI, CHUQUISACA."
94,CHUQUISACA,INCAHUASI,EL VERANO,Verano
96,CHUQUISACA,INCAHUASI,HUAJLAYA,"HUAJLAYA INCAHUASI, NOR-CINTI, CHUQUISACA"
98,CHUQUISACA,INCAHUASI,JOLENCIA,"JOLENCIA, INCAHUASI, NOR-CINTI, CHUQUISACA"
100,CHUQUISACA,INCAHUASI,SAN ANDRES CHUQUISACA,SAN ANDRES
101,CHUQUISACA,INCAHUASI,VIRGEN DEL ROSARIO INCAHUASI,INCAHUASI
102,CHUQUISACA,INCAHUASI,YATINA,"YATINA, INCAHUASI, NOR-CINTI, CHUQUISACA"
103,CHUQUISACA,LAS CARRERAS,IMPORA,Impora
104,CHUQUISACA,LAS CARRERAS,LA TORRE,La Torre
105,CHUQUISACA,LAS CARRERAS,LIME,Lime
106,CHUQUISACA,LAS CARRERAS,SOCPORA,Socpora
107,CHUQUISACA,LAS CARRERAS,TARAYA,Taraya
109,CHUQUISACA,LAS CARRERAS,VIRGEN DEL CARMEN LAS CARRERAS,Las Carreras
110,CHUQUISACA,MACHARETI,CAMATINDI,camatindi frente a la escuela
111,CHUQUISACA,MACHARETI,CAMPO LEON,CAMPO LEON
112,CHUQUISACA,MACHARETI,CARANDAYTI,AL FRENTE DE LA IGLESIA
113,CHUQUISACA,MACHARETI,IPATI DE IVO,Ipaty de Ivo a lado de la Iglesia
