,departamento,municipio,establecimiento,direccion
99,BENI,RIBERALTA,LA UNIDAD,AV. MARA
100,BENI,RIBERALTA,LOS CAYUCES,CARRETERA RIBERALTA-SANTA ROSA KM 141
101,BENI,RIBERALTA,NAZARETH,CARRETERA RIBERALTA-SANTA ROSA KM 83
103,BENI,RIBERALTA,PUEBLO NUEVO,NUEVO
405,BENI,RIBERALTA,PUEBLO NUEVO,PUEBLO NUEVO
104,BENI,RIBERALTA,RENE SALAZAR,CALLE OSCAR RIBERA
105,BENI,RIBERALTA,SAN ANDRES,AV. REYES Y AV. SANTA ROSA
106,BENI,RIBERALTA,SAN ANTONIO,CARRETERA RIBERALTA A GUAYARAMERIN
107,BENI,RIBERALTA,SAN JOSE,AV. FUERZA NAVAL
109,BENI,RIBERALTA,SAN JUAN,CARRETERA RIBERALTA-CACHUELA ESPERANZA KM 27
411,BENI,RIBERALTA,SAN JUAN,27
111,BENI,RIBERALTA,SANTA ELENA DEL LAGO,DESTINO
413,BENI,RIBERALTA,SANTA ELENA DEL LAGO,BUEN DESTINO
112,BENI,RIBERALTA,SANTA MARIA,CARRETERA RIBERALTA-SANTA FE DE PAMPA KM 25
416,BENI,RIBERALTA,SANTA MARIA,25
113,BENI,RIBERALTA,TAMARINDO,Barrio Tamarindo av. Bakaba
115,BENI,RIBERALTA,TARUMA,SIRSINALES
116,BENI,RIBERALTA,TUMICHUCUA,CARRETERA RIBERALTA-SANTA ROSA KM 24
117,BENI,RIBERALTA,WARNES,CARRETERA A LOMA ALTA-PANDO
119,BENI,RURRENABAQUE,ASUNCION DEL QUIQUIBEY,RURRENABAQUE RIO BENI ARRIBA
121,BENI,RURRENABAQUE,COLLANA,CARRETERA RURRENABAQUE - YUCUMO
123,BENI,RURRENABAQUE,EL CAUCHAL,CARRETERA RURRENABAQUE - YUCUMO
426,BENI,RURRENABAQUE,"EL CEBU ""DR CARLOS REYES ARAU","Z"" CARRETERA RURRENABAQUE - YUCUMO"
125,BENI,RURRENABAQUE,"EL CEBU ""DR CARLOS REYES ARAUZ""",CARRETERA RURRENABAQUE - YUCUMO
127,BENI,RURRENABAQUE,LOS SAUCES,BARRIO LOS SAUCES
129,BENI,RURRENABAQUE,NIÑO JESUS,CALLE 25 DE DICIEMBRE ESQ. CIRCUNVALACIÓN
130,BENI,RURRENABAQUE,NUEVO HORIZONTE,CARRETERA RURRENABAQUE - YUCUMO
132,BENI,RURRENABAQUE,PIEDRAS BLANCAS,CARRETERA RURRENABAQUE - YUCUMO
134,BENI,RURRENABAQUE,VILLA AROMA,CARRETERA RURRENABAQUE - YUCUMO
136,BENI,SAN ANDRES,ABACUYA,frente c/german bush y ramon pantoja
138,BENI,SAN ANDRES,C.S.A. TERRASUR,Carretera santa cruz km.105
141,BENI,SAN ANDRES,CARMEN DEL DORADO,TRONCAL
437,BENI,SAN ANDRES,CARMEN DEL DORADO,CARRETERA TRONCAL
143,BENI,SAN ANDRES,ELVIRA,PRIMERA ENTRADA
145,BENI,SAN ANDRES,NUEVA BETANIA,Comunidad Nueva Betania
147,BENI,SAN ANDRES,NUEVA MAGDALENA,CARRETERA SANTA CRUZ- TRINIDAD KM 185
149,BENI,SAN ANDRES,P.S. UNION Y FE,KM 97 CARRETERA TRINIDAD SANTA CRUZ
151,BENI,SAN ANDRES,PEROTO,ENTRE AV. 16 DE JULIOY AV GANADERA
153,BENI,SAN ANDRES,PUENTE SAN PABLO,CALLE SANTA CRUZ/ BOLIVAR Y SUCRE
155,BENI,SAN ANDRES,PUENTES CAIMANES,Frente a la cancha
157,BENI,SAN ANDRES,REMANSO DEL PARAISO,FRENTE A LA CANCHA
159,BENI,SAN ANDRES,SAN ANDRES,Av.Ladislao Vaca
161,BENI,SAN ANDRES,SAN LORENZO,SAN LORENZO
162,BENI,SAN ANDRES,SANTA ROSA KM-100,SANTA ROSA KM 100
164,BENI,SAN ANDRES,SOMOPAE,CALLE PRINCIPAL FRENTE A LA PLAZA
166,BENI,SAN ANDRES,VILLA ALBA,villa alba
168,BENI,SAN ANDRES,VILLA SAN PEDRO,Carretera Trinidad a San Cruz Km 203
169,BENI,SAN BORJA,EL PALMAR,EL PAMAR
170,BENI,SAN BORJA,GALILEA,COMUNIDAD GALILEA
171,BENI,SAN BORJA,HOREB,CARRETERA A YUCUMO KM 4
172,BENI,SAN BORJA,JUNRRENO,COMUNIDAD JUNRRENO
173,BENI,SAN BORJA,LA CRUZ,Com. La Cruz
174,BENI,SAN BORJA,LA EMBOCADA,COMUNIDAD LA EMBOCADA
175,BENI,SAN BORJA,LAS ABRAS,COMUNIDAD LAS ABRAS
176,BENI,SAN BORJA,MISION FATIMA,"Alado de la Pista, Cercana ala Escuela"
177,BENI,SAN BORJA,PUEBLO NUEVO,PUEBLO NUEVO
178,BENI,SAN BORJA,QUIQUIBEY,prov.gral.jose-ballivian-mun.sanborja
180,BENI,SAN BORJA,VILLA BORJANA,POBLACIÓN VILLA BORJANA
181,BENI,SAN BORJA,VILLA INGAVI,VILLA INGAVI
183,BENI,SAN BORJA,VIRGEN DEL CARMEN,ZONA VIRGEN DEL CARMEN CALLE VIRGEN DEL CARMEN
467,BENI,SAN BORJA,VIRGEN DEL CARMEN,CARMEN
184,BENI,SAN BORJA,YUCUMO,AV. CIRCUNVALACION; ESQUINA C/BOLIVAR S/N
186,BENI,SAN IGNACIO,ARGENTINA,alfrente de la cancha
188,BENI,SAN IGNACIO,BERMEO,Calle juan bauture
190,BENI,SAN IGNACIO,BRIGADA MOVIL LA PASCANA,C/BENI ESQ. C/MATILDE VDA. DE RIVER
194,BENI,SAN IGNACIO,DESENGANO,ZONA 23 DE MARZO  DIAGONAL A LA U.E. DESENGAÑO
476,BENI,SAN IGNACIO,DESENGANO,DESENGAÑO
196,BENI,SAN IGNACIO,FATIMA,frente a la cancha
478,BENI,SAN IGNACIO,FATIMA,indigenal frente a la cancha
198,BENI,SAN IGNACIO,LAS MERCEDES,frende cancha acera sur
200,BENI,SAN IGNACIO,LITORAL,Trinidad-San ignacio.
202,BENI,SAN IGNACIO,MONTE GRANDE,al frente de la plasuela san seferino cuellar
204,BENI,SAN IGNACIO,MONTE GRANDE KM. 5,frende cancha acera este
192,BENI,SAN IGNACIO,NOVIEMBRE,C/ INDEPENDENCIA ESQ. ANTONIO DE ORELLANA
206,BENI,SAN IGNACIO,NUEVA GALILEA,Frente a la cancha
208,BENI,SAN IGNACIO,OROMOMO,TIpnis Secure Alto
210,BENI,SAN IGNACIO,PARROQUIAL VINARASIRARE,CALLE INDEPENDENCIA S/N
212,BENI,SAN IGNACIO,PUEBLO NUEVO MOXOS,FRENTE DE LA CANCHA
214,BENI,SAN IGNACIO,PUERTO SAN BORJA,sobre el rio apere.
490,BENI,SAN IGNACIO,PUERTO SAN BORJA,puente sobre el rio apere.
216,BENI,SAN IGNACIO,PUERTO SAN LORENZO TIPNIS,PUERTO SAN LORENZO
218,BENI,SAN IGNACIO,SAN FRANCISCO,SAN FRANCISCO DE MOXOS
220,BENI,SAN IGNACIO,SAN IGNACITO DE MOXOS,FRENTE DE LA CANCHA
222,BENI,SAN IGNACIO,SAN JOSE DEL CABITO- TIM,Comunidad San Jose del Cavitu: Distrito TIM
224,BENI,SAN IGNACIO,SAN LORENZO DE MOXOS,Zona 18 de Noviembre Calle. Zoila Ardaya
226,BENI,SAN IGNACIO,SAN LUIS SANTA ROSA,frente ala cancha
228,BENI,SAN IGNACIO,SAN MIGUEL DEL APERE,Frente ala Cancha de Futbol
229,BENI,SAN IGNACIO,SAN MIGUELITO DE MOXOS,frende cancha acera norte
231,BENI,SAN IGNACIO,SANTA RITA,ALFRENTE DE L CANCHA DE FUTBOL
233,BENI,SAN IGNACIO,SANTA ROSA DEL APERE,AV. San Francisco
235,BENI,SAN IGNACIO,SANTIAGO DEL ICHOA,frende cancha acera sur
