id;cod_depto;departamento;cod_mun;municipio;ce_menores_de_5_años;ce_mayores_de_5_años;ce_total_general;promedio_menor_de_5_años;promedio_mayor_de_5_años;promedio_general
62;2;LA PAZ;20606;TIPUANI;6248;8089;14337;5,083946864;0,862326669;1,351348514
63;2;LA PAZ;20607;MAPIRI;6023;9390;15413;3,008921642;0,735881256;1,044105043
64;2;LA PAZ;20608;TEOPONTE;7738;8380;16118;6,615634808;0,955825829;1,622028332
65;2;LA PAZ;20701;APOLO;9529;9190;18719;3,449667265;0,488352003;0,867395863
66;2;LA PAZ;20702;PELECHUCO;3324;6116;9440;3,790650182;0,965714637;1,309287526
67;2;LA PAZ;20801;VIACHA;21651;45022;66673;2,394610417;0,58731523;0,777991728
68;2;LA PAZ;20802;GUAQUI;1312;5710;7022;2,606101782;0,790480101;0,908774171
69;2;LA PAZ;20803;TIAWANACU;3455;10040;13495;3,803534855;0,834378717;1,042787859
70;2;LA PAZ;20804;DESAGUADERO;838;3598;4436;1,154167072;0,537643101;0,597985786
71;2;LA PAZ;20805;SAN ANDRES DE MACHACA;1019;6318;7337;1,848800958;1,057604193;1,124436253
72;2;LA PAZ;20806;JESUS DE MACHACA;5282;15998;21280;4,081662618;1,090312111;1,332753528
73;2;LA PAZ;20807;TARACO;874;4152;5026;2,117809239;0,629226485;0,716846026
74;2;LA PAZ;20901;LURIBAY;2989;10066;13055;3,014505244;0,928739826;1,103561368
75;2;LA PAZ;20902;SAPAHAQUI;2774;7312;10086;2,449714967;0,603071428;0,760806938
76;2;LA PAZ;20903;YACO;2963;5341;8304;3,826219914;0,763457004;1,068697899
77;2;LA PAZ;20904;MALLA;1042;2114;3156;1,738046781;0,431163008;0,573553139
78;2;LA PAZ;20905;CAIROMA;4116;11513;15629;3,142684926;1,070791589;1,295768622
79;2;LA PAZ;21001;INQUISIVI;4078;6861;10939;2,361111949;0,493218332;0,699521721
80;2;LA PAZ;21002;QUIME;3531;8231;11762;4,163230738;1,037007057;1,338811424
81;2;LA PAZ;21003;CAJUATA;6081;10059;16140;4,775197957;1,022651591;1,452791094
82;2;LA PAZ;21004;COLQUIRI;6997;12530;19527;2,882437226;0,680180431;0,936589786
83;2;LA PAZ;21005;ICHOCA;1137;3245;4382;1,153831051;0,437272492;0,521268591
84;2;LA PAZ;21006;LICOMA PAMPA;763;2308;3071;1,658785525;0,429821918;0,526790609
85;2;LA PAZ;21101;CHULUMANI (V. DE LA LIBERTAD);7861;11253;19114;3,939190103;0,664677807;1,009955038
86;2;LA PAZ;21102;IRUPANA (VILLA DE LANZA);11005;15598;26603;5,732633897;0,948858408;1,449090453
87;2;LA PAZ;21103;YANACACHI;3771;5287;9058;5,629577193;0,859437019;1,327849458
88;2;LA PAZ;21104;PALOS BLANCOS;20828;26159;46987;6,420186262;1,135454584;1,787768034
89;2;LA PAZ;21105;LA ASUNTA;22795;22077;44872;3,594641294;0,607418066;1,051185891
90;2;LA PAZ;21201;PUCARANI;5665;13168;18833;1,89340994;0,483699429;0,623289904
91;2;LA PAZ;21202;LAJA;3936;8986;12922;1,686088482;0,378998999;0,49615611
92;2;LA PAZ;21203;BATALLAS;3556;9532;13088;2,144208597;0,566066814;0,707558045
93;2;LA PAZ;21204;PUERTO PEREZ;1323;6110;7433;1,840589459;0,769437771;0,858348326
94;2;LA PAZ;21301;SICA SICA (VILLA AROMA);7321;17236;24557;2,100664945;0,578949772;0,7384179
95;2;LA PAZ;21302;UMALA;3058;6122;9180;3,592340889;0,711465592;0,970809243
96;2;LA PAZ;21303;AYO AYO;2073;4314;6387;2,517644423;0,5784229;0,771227815
97;2;LA PAZ;21304;CALAMARCA;5977;12405;18382;5,168585992;1,031524384;1,394445549
98;2;LA PAZ;21305;PATACAMAYA;5194;8060;13254;1,907876567;0,374063259;0,546116296
99;2;LA PAZ;21306;COLQUENCHA;2642;6219;8861;2,627806568;0,655548386;0,844538957
100;2;LA PAZ;21307;COLLANA;689;2685;3374;1,259845522;0,558741039;0,630378649
101;2;LA PAZ;21401;COROICO;5310;12330;17640;2,630212395;0,663390059;0,856094634
102;2;LA PAZ;21402;CORIPATA;6634;8432;15066;3,581223746;0,522954086;0,83810696
103;2;LA PAZ;21501;IXIAMAS;6708;7801;14509;4,610698774;0,918079163;1,457902935
104;2;LA PAZ;21502;SAN BUENA VENTURA;6285;10748;17033;4,8392259;1,350891825;1,840413183
105;2;LA PAZ;21601;GRAL. J.J. PEREZ  (CHARAZANI);3756;7208;10964;2,180252347;0,595178033;0,792574586
106;2;LA PAZ;21602;CURVA;1351;2670;4021;3,007259341;0,878572051;1,152720901
107;2;LA PAZ;21701;COPACABANA;2348;5951;8299;1,738020664;0,410451958;0,523608971
108;2;LA PAZ;21702;SAN PEDRO DE TIQUINA;1224;4598;5822;3,076183544;0,762973897;0,906244603
109;2;LA PAZ;21703;TITO YUPANQUI (PARQUIPUJIO);282;1701;1983;0,661936779;0,273431295;0,298331702
110;2;LA PAZ;21801;SAN PEDRO DE CURAHUARA;2680;7748;10428;3,774957951;0,89045141;1,108047795
111;2;LA PAZ;21802;PAPEL PAMPA;3293;9856;13149;4,846800638;1,457843355;1,76731763
112;2;LA PAZ;21803;CHACARILLA;525;1916;2441;2,39647464;1,00284407;1,146204185
