id;cod_depto;departamento;cod_mun;municipio;ce_menores_de_5_años;ce_mayores_de_5_años;ce_total_general;promedio_menor_de_5_años;promedio_mayor_de_5_años;promedio_general
1;1;CHUQUISACA;10101;SUCRE;159790;634511;794301;5,022920528;2,58391542;2,863646196
2;1;CHUQUISACA;10102;YOTALA;3179;9946;13125;2,811751479;1,140545583;1,332352045
3;1;CHUQUISACA;10103;POROMA;9898;15883;25781;4,718822548;0,98204199;1,411033879
4;1;CHUQUISACA;10201;AZURDUY;8823;11680;20503;7,001167741;1,202415332;1,868325132
5;1;CHUQUISACA;10202;TARVITA;12160;21389;33549;7,207075798;1,644704309;2,283487612
6;1;CHUQUISACA;10301;ZUDAÑEZ;4565;10685;15250;3,325264847;1,01000295;1,275937082
7;1;CHUQUISACA;10302;PRESTO;4907;11653;16560;3,23709093;0,99742083;1,254640503
8;1;CHUQUISACA;10303;MOJOCOYA;2970;9689;12659;3,095777652;1,309390011;1,5144156
9;1;CHUQUISACA;10304;ICLA;6747;11594;18341;7,411133399;1,651422762;2,312570924
10;1;CHUQUISACA;10401;PADILLA;6360;29929;36289;5,128072265;3,130397099;3,359781502
11;1;CHUQUISACA;10402;TOMINA;6432;15485;21917;6,403356932;1,99999306;2,505659083
12;1;CHUQUISACA;10403;SOPACHUY;5525;13221;18746;6,309286398;1,958287579;2,457847122
13;1;CHUQUISACA;10404;ALCALA;2174;6798;8972;3,695244517;1,49944539;1,751659508
14;1;CHUQUISACA;10405;EL VILLAR;2313;10751;13064;4,357894336;2,629738571;2,828317818
15;1;CHUQUISACA;10501;MONTEAGUDO;16437;62451;78888;5,608779253;2,765470294;3,092070709
16;1;CHUQUISACA;10502;HUACARETA;5154;14669;19823;5,272162141;1,949261927;2,331294837
17;1;CHUQUISACA;10601;TARABUCO;7182;18355;25537;3,625132083;1,200785239;1,478948283
18;1;CHUQUISACA;10602;YAMPARAEZ;2610;9804;12414;2,145067381;1,044617327;1,170911149
19;1;CHUQUISACA;10701;CAMARGO;7288;24693;31981;3,820151432;1,678058246;1,92390062
20;1;CHUQUISACA;10702;SAN LUCAS;16237;36542;52779;4,213172397;1,228792616;1,571177661
21;1;CHUQUISACA;10703;INCAHUASI;8623;9323;17946;5,435459592;0,762270552;1,298834769
22;1;CHUQUISACA;10704;VILLA CHARCAS;7559;12587;20146;3,855284679;0,832291085;1,17923203
23;1;CHUQUISACA;10801;VILLA SERRANO;8012;13966;21978;6,034720677;1,365153753;1,901540059
24;1;CHUQUISACA;10901;CAMATAQUI (C. VILLA ABECIA);1129;5120;6249;2,614598673;1,538371969;1,661968085
25;1;CHUQUISACA;10902;CULPINA;8649;18162;26811;4,087937859;1,112440711;1,453801106
26;1;CHUQUISACA;10903;LAS CARRERAS;1763;5700;7463;3,566693101;1,496964865;1,734774523
27;1;CHUQUISACA;11001;VILLA VACA GUZMAN (MUYUPAMPA);5302;17754;23056;4,542568511;1,975560001;2,270632263
28;1;CHUQUISACA;11002;HUACAYA (VILLA DE HUACAYA);2764;6054;8818;9,107883748;2,594356487;3,34395146
29;1;CHUQUISACA;11003;MACHARETI;5367;14335;19702;6,062432865;2,105081731;2,560363873
30;2;LA PAZ;20101;LA PAZ;372796;1315273;1688069;4,739111589;1,850210971;2,13803843
31;2;LA PAZ;20102;PALCA;5692;9977;15669;3,316765091;0,644181542;0,910776564
