id;cod_depto;departamento;cod_mun;municipio;ce_menores_de_5_años;ce_mayores_de_5_años;ce_total_general;promedio_menor_de_5_años;promedio_mayor_de_5_años;promedio_general
1;1;CHUQUISACA;10101;SUCRE;196893;548236;745129;5,579748092;1,944036086;2,348370051
2;1;CHUQUISACA;10102;YOTALA;3955;7697;11652;3,39834104;0,828275247;1,11431932
3;1;CHUQUISACA;10103;POROMA;11829;14428;26257;5,306890365;0,810897642;1,311432548
4;1;CHUQUISACA;10201;AZURDUY;8139;10463;18602;3,942441254;0,997016072;1,481195872
5;1;CHUQUISACA;10202;TARVITA;16039;20538;36577;5,123944304;1,291591705;1,921917339
6;1;CHUQUISACA;10301;ZUDAÑEZ;7229;6113;13342;5,989373529;0,880103991;1,63650481
7;1;CHUQUISACA;10302;PRESTO;6629;7841;14470;4,235921931;0,869964109;1,367938092
8;1;CHUQUISACA;10303;MOJOCOYA;3755;7640;11395;3,00257139;1,061962178;1,34934715
9;1;CHUQUISACA;10304;ICLA;10460;12828;23288;6,346519754;1,351234603;2,090168105
10;1;CHUQUISACA;10401;PADILLA;8718;23805;32523;4,995689504;2,172289438;2,560142672
11;1;CHUQUISACA;10402;TOMINA;7458;14301;21759;4,791813368;1,462693806;1,919871602
12;1;CHUQUISACA;10403;SOPACHUY;4216;9271;13487;3,434216074;1,202848869;1,509426659
13;1;CHUQUISACA;10404;ALCALA;2056;6450;8506;3,216537622;1,608646319;1,829727744
14;1;CHUQUISACA;10405;EL VILLAR;2812;9037;11849;4,634623138;2,372100231;2,682929119
15;1;CHUQUISACA;10501;MONTEAGUDO;18912;57320;76232;4,637987182;2,223132743;2,552889389
16;1;CHUQUISACA;10502;HUACARETA;5498;11147;16645;3,788408233;1,213136398;1,56440198
17;1;CHUQUISACA;10601;TARABUCO;9810;16957;26767;3,230403418;0,964354353;1,298073516
18;1;CHUQUISACA;10602;YAMPARAEZ;3097;10355;13452;2,288851053;1,32530768;1,467539904
19;1;CHUQUISACA;10701;CAMARGO;8253;22256;30509;3,423304292;1,72414168;1,99154261
20;1;CHUQUISACA;10702;SAN LUCAS;25524;40209;65733;4,643137612;1,36415712;1,879563128
21;1;CHUQUISACA;10703;INCAHUASI;6980;7937;14917;2,846870732;0,603718575;0,956299545
22;1;CHUQUISACA;10704;VILLA CHARCAS;8270;10493;18763;4,451449611;1,053309262;1,587426709
23;1;CHUQUISACA;10801;VILLA SERRANO;10072;12306;22378;6,224002003;1,107670704;1,758163859
24;1;CHUQUISACA;10901;CAMATAQUI (C. VILLA ABECIA);1250;3955;5205;2,637431319;1,338132751;1,517688692
